id	window
16713-1957-02-08.5.1.26.11-conservative	", or of the five power of the Brussels Pact , or of the ten , twelve , and eventually fifteen power of the Council of Europe , or , with their american partner , as the select inner group of three power of N.A.T.O. , or as the twelve power represent all the member of N.A.T.O.each of these organisation set up its own permanent organisation , exchange delegation and accredit representative with the other , and co - ordinating committee be set up , the number of which grow in geometrical progression with the foundation of each new organisation .their function overlap to such an extent that a special bureaucracy be set up for the sole purpose of exchange and file their statistic , plan and resolution ; a sham world of ' supra - national ' organisation tirelessly organise their own activity in the void .that be strong language , but there be an element of truth in it , especially about the bureaucracy set up for the purpose of exchange resolution .we know too well how that go on , and we know what happen to the resolution when they be exchange .they go into pigeon - hole .the picture , on the whole , be not exaggerated ."""
17887-1957-02-08.5.1.49.9-labour	as to this multifariousness , this duplication , this waste of time and multiplication of bureaucracy , that be primarily the fault of this country more than of any other .the only way in which this proliferation can be solve be to bring these body together under one roof and have all the member of the parliamentary council member of all the body , otherwise the Council can not have authority over the separate body .we can not expect that we or the scandinavian country , or Poland if she come in , should have authority in a Council of Europe to control , direct or instruct the Coal and Steel Community or Euratom unless we be all member .this be the only way that we can do it effectively , and we might as well face the fact .
22484-1957-02-08.5.1.65.3-labour	the inter - government body I have mention be now in being , and once these become effective and efficient we do not want bureaucracy to rule .we have to have some mean of control bureaucracy and the way be by parliamentary control .so we have the Council of Europe and Western European Union ( which act in that way .I want to refer to both , because , as have be say by several speaker this morning , there appear to be a good deal of overlapping .the member of both Assemblies be the same people and it be now time to see whether the administrative staff ought not to be the same .I want to put some question in the hope that the Minister of State himself or the Foreign Secretary at the meeting of Foreign Ministers will see whether these matter can not be study with a view to get a well service by centralised administration .
16405-1957-02-08.5.1.79.3-conservative	"""with each organisation and assembly have come a proliferation , as it have be call , or , perhaps one might call it , a burgeoning of bureaucracy .every hon .member who have speak today have be of the opinion that we must try to concentrate the function and combine the membership of this , one might al most say , """" Babel """" of assembly if only because there be just not enough european statesman and european official of the calibre necessary to sustain the work ."""
19131-1957-02-14.16.1.3.2-labour	"""the history in this case be , I fear , somewhat typical of what go on too often with enterprising firm which find themselves confront with that vast new bureaucracy which have , I think , be call the """" new despotism , """" which my own party bear equal responsibility for produce and which we now must try and get into gear and suit to the economic requirement of our country .year ago , I write a little pamphlet on the location of industry .I fear that it be not know , and practically nobody here have ever read it ; but what I say then still hold good .our job in administer the affair of this country be to try to make thing easy for a man or an industry try to do something good for the country 's economy , not to put difficulty in the way ."""
22241-1957-02-20.18.2.38.5-labour	I warn government , no matter of which colour , that if they insist on have government by Executive like this in respect of all Bills of major importance to the people of this country , then the question of democratic government will be seriously involve .the people , and hon .member on both side of the Committee , will come to the conclusion that it be impossible to improve such Measures and that the will of the Executive will always prevail .even Ministers be become slave to the bureaucracy of Whitehall .I think it be time that someone say this in this House of Commons before Parliament 's democratic way be seriously disturb .
18624-1957-02-27.21.1.13.10-conservative	it be for that reason , in the general interest of his constituent in rural area , that this procedure be put there .I assure he that it be operate in the most sympathetic and understanding way possible and be certainly not intend as an additional piece of bureaucracy .I regret that in the remain second I be not able to reply to my hon .Frend 's other point , but I will gladly do so in a letter to he as soon as I can .
21666-1957-03-13.22.1.38.12-conservative	in conclusion , with regard to the canal , although the point have be make before in this House , I still maintain that it would be a good plan if all the canal be place under control of a completely different authority .I think that there be a tendency for the Transport Commission to want to drive all the business off the canal and on to the railway , and I myself would rather see the canal in competition with the railway .I be a great believer in competition , and , if we want good service , then we must have competition .I do not believe in bureaucracy , and , for that reason , I think it would be a good plan if the canal be hand over to another authority in order to see what sort of a job it could make of they .
21882-1957-03-18.12.1.6.1-labour	be it not a fact that many garage proprietor have be say for week that they have more petrol than they be able to dispose of ?in these circumstance , be the right hon .gentleman quite sure that this labourious business of rationing be worth continue ?be the right hon .Gentleman also aware that the administration of the scheme have really be shocking , that injustice have be do , that correspondence have be incompetently conduct and application lose ?be the right hon .gentleman aware that this have be one of the most shocking piece of incompetent bureaucracy that we have ever experience ?if this bureaucratic scheme be to continue , will the right hon .Gentleman see that there be some reasonable efficiency about it ?
19526-1957-03-21.19.1.1.2-labour	no one object that the Treasury should have a voice in determine the global sum , but we do not think it right and proper — and it be about time that someone should say so — that the Treasury should have its approval to these scheme write into a Bill .I know what it mean in practice : an increase of the bureaucracy the whole time .the Treasury will get a herre man .it have an advantage , of course , when it come to establishment .if they lose their battle with the Ministry they make sure they get a well herre man than the Ministry have so that they have the final word .
17858-1957-03-25.16.1.12.6-socialist	I could quote many instance of people protest against this decision , but I want to quote only two more .one be the summing up in an article in the British Medical Journal , last month in a letter sign by four distinguished member of the profession in Edinburgh .it be sign by two .one be Dr. T. R. R. Todd , an eminent Edinburgh physician whom I know in a professional capacity since I spend four month in his ward .I be grateful for his medical knowledge and skill , and that of Dr. Halliday Croom , and Mr. W. A. D. Adamson the surgeon .one other signatory to the letter be that world famous surgeon , Professor Norman Dott .they say : it would appear from this wide and forceful public reaction that where we have a regional hospital board out of touch with medical and lie opinion , and under - estimate the valuable part play by small hospital in the medical service .surely no State bureaucracy should assert its authority against the express wish of the people by whom the National Health Service be finance and for whom the National Health Service exist .that sum up in a nutshell the case for the Secretary of State give way on this issue .
21830-1957-03-26.4.18.3.1-labour	be the Joint Under - Secretary aware that hon .member on this side of the House — and , I presume , hon .member opposite — be receive representation on this question by every post ?although my constituency be some distance away , I have receive at least twenty communication from constituent concern with this question .be not one of the job of the Secretary of State to protect the user of hospital from unnecessary bureaucracy ?be not that what be happen ?be we not be treat with unnecessary bureaucracy ?
21841-1957-04-02.20.1.74.4-conservative	I do not believe that it be the monopoly of Conservatism , by any mean , that people should enjoy right and freedom as long as they do not abuse they and become a danger to their neighbour or a menace to the good life of the country in general .this be a poor argument on the part of the Parliamentary Secretary .it be the voice of bureaucracy .it be not the voice of Esau , but the voice of Jacob , the voice of bureaucracy .I really think that Surrey , with its record , be entitle to well treatment .I hope that that argument will not weigh with the House .
19591-1957-04-05.7.1.3.1-conservative	for a few minute I be glad to have the privilege today of bring to the attention of this honourable House one of the blight of our age , namely , organise bureaucracy .I be sorry that many of the hon .member who have speak about education will , perhaps , not have the opportunity of listen to this case , which deal specifically with education .the case of Mrs. Garbett and her daughter , Marion , offer a very good local example .
21718-1957-04-09.47.1.3.3-conservative	of that sum , £ 4,000 would be raise locally , so that the Ministry have to find only another £ 4,000 .it seem absurd — bureaucracy go mad — to sanction new scheme which will take year to come to fruition , and yet to prevent a scheme from be complete that require only this very small amount of money to be spend .the excuse that in the county this extra £ 450,000 have be sanction do not cut any ice at all with my constituent .they feel very strongly that the whole thing have not be wisely handle .
19526-1957-05-23.15.3.10.5-labour	I should like to know whether the Chancellor consider these matter and weigh their importance in the balance before introduce the clause , or whether the Clause have just slip in because a lazy bureaucracy have take the easy course of make permanent something which it be not justifiable to make permanent .
18562-1957-05-23.15.3.12.1-conservative	I be sure there be no lazy bureaucracy associate with my right hon .friend 's measure .I rise at this late hour only for a moment to defend as vigorously as I be able the very constructive proposal contain in the Clause .it be a matter of considerable interest to my constituency .large acreage of western Worcestershire be devoted to hop , and mine be the second large hop - grow constituency in the country , the large being in Kent .
17640-1957-05-23.15.4.4.8-liberal	I do not criticise the Australian Trade Agreement and its effect .it be perfectly good .we talk about a lazy bureaucracy .I do not think it be fair , but it may be a symptom of the fact that minister be overwork that we permit these thing to be say .I do not want to raise acute political issue .the Minister know that we on this side of the Committee feel very strongly on the question of bulk purchase and long - term contract .have more of that be do in year go by and have there be consultation we would have see Australia grow as one of the great raw material produce area of the earth instead of be reluctantly force to industrialise itself because the price of raw material could not be maintain .
17849-1957-06-27.27.8.5.9-labour	the Commissioners of Inland Revenue , as I have say more than once , have the care and maintenance of the Income Tax Acts .they be part of the bureaucracy to administer one of our most complicated tax code and they be therefore , as a rule , not an appellate body .usually the appeal be to the General Commissioners and from they in certain circumstance to the Special Commissioners or to appeal tribunal or to the court .I think we ought to know more about this provision .we ought to have definite assurance that it be intend for a proper purpose and that it can rarely be use , and then only in manner which would receive public approval .
18562-1957-07-15.5.2.50.1-conservative	notwithstanding my right hon .friend 's refutation of the dear coal policy , be it not a fact that coal for the domestic consumer , particularly in the South of England , be extraordinarily dear ?be he aware that those live on relatively modest income be today face with a situation in which they can not afford to buy the ration ?as coal be now ration by price , why keep all this clumsy abracadabra of bureaucracy in be for a shortage that no long exist ?
21740-1957-11-05.5.1.40.4-conservative	I regret , however , that there be no mention in the gracious Speech of the problem of Welsh administration .in this respect there be two error to avoid .the first error be that of the divorce of Ministers from their Departmental responsibility , and the second be that of add needlessly to the cost of bureaucracy .the Advisory Council for Wales and Monmouthshire be obsess with status .it could not get out of its head the suspicion that Scotland might he have something that Wales be not have .when the problem of administration as regard Wales or any other country be discuss we often tend to overlook altogether the impact of proposal for administrative reform on the life of the ordinary people who will suffer under the administration or benefit under it ; and that should be the acid test .
21777-1957-12-02.9.1.79.4-labour	"""hon .member may not think that this change in parliamentary control be very important , but I receive a circular from the London Chamber of Commerce , which represent some 12,500 manufacturer , merchant , wholesaler and retailer within a radius of twenty mile of the City who regard it as a very serious matter .I agree with the London Chamber of Commerce when it say that the Bill … in short , if not amend , would carry Government by bureaucracy to a point never yet attempt """" .I will come in a moment to specific criticism of the way in which the Import Duties Board be constitute and the power , such as they be , which be give to it .before do so .I should like to say how much I agree with the speech make by my hon .friend the Member for Nottingham , North ( Mr. J. Harrison ) and speech make by hon .gentleman opposite as to the great difficulty we be in in not know what the Government 's intention be in this matter ."""
16615-1957-12-02.9.1.99.3-labour	I have see that sort of thing in large - scale industry , where small body of man dispose of matter hand to they .this be hand over the whole machinery of the State to bureaucracy in its bad form .Most people dislike bureaucracy — that be quite natural because we all object to be govern and to the spread of bureaucratic power — but the Government seem to be give an extraordinary amount of power to this small committee .the President of the Board of Trade do not deal with this aspect of the matter .will this committee be able to act without be responsible to the House ?can it take action without further reference to the President of the Board of Trade ?
16615-1957-12-02.9.1.99.4-labour	as democrat , those be question which we must pose .the growth of bureaucracy be bad enough as it be , but in a country like our , which have to export vast quantity of good and where capital investment must be on a very large scale , it may be very difficult and embarrassing for manufacturer if they be not to have a reasonably stable attitude towards import duty on various product .the constitution of the Import Duties Board will be such that many industry — and I be think of the shipbuilding industry , in particular — will not feel very confident about the position .
19405-1957-12-02.9.1.115.2-conservative	on the question of legislation and parliamentary procedure generally , I do not think the hon .member for Islington , East ( Mr. E. Fletcher ) be entirely justified in his remark about bureaucracy .the general principle embody in present legislation be continue , which be that any order impose or increase custom duty or restrict the relief for specific purpose as outline in Clause 5 require an affirmative Resolution as previously .
21773-1957-12-04.26.1.108.4-labour	it have be point out that we have difficulty these day in put our question to the various Scottish Ministers .an important function of parliamentary life be that if we have opportunity of question Ministers , we will be prevent from be rule too much by the bureaucracy , by the civil servant , and the urgent day - to - day question that come upon we in the course of event will be keep right to the forefront .if we have , say , an hour of the Scottish Grand Committee once a fortnight that would not be ask too much and there would be no compulsion on those who do not wish to attend — that would prove a useful opportunity for ventilate the grievance of Scotland .
18437-1957-12-12.17.1.54.3-labour	the position now be that a person can be in possession of knowledge which would benefit humanity as a whole and the Bill will allow he to make all the private profit he want out of it .there be to be no power to acquire the knowledge to meet the national need .that be where the hon .member for the Isle of Thanet and myself disagree .I say that such a position be wrong .if certain information would benefit the country as a whole , the State should have the right to acquire it .the hon .member for the Isle of Thanet do not want that .I would say this to he : I have always argue that there be danger in a bureaucracy .there be a danger of certain people get power which they should not have .it be important that we should devise machinery to try to prevent much of that .we must write into the Bill certain compensation clause for those people who have this information take from they .
18884-1957-12-13.4.1.36.2-labour	Government Departments in general be so often regard as soulless , impersonal institution that it be well to be remind from time to time that they be not merely and exclusively sideline of an aloof and remote bureaucracy , but have a very definite responsibility for a human service of this character .the work , in particular , of the Ministry of Labour in this field be one of the outstanding mark of the tremendous transformation which have take place in that Ministry from pre - war day , when it be very largely dismiss — and be to a large degree very unpopular — as little more than a dole - pay agency , and have translate itself into an essential social service Ministry and an essential instrument of the Welfare State .
21740-1957-12-16.7.1.45.3-conservative	the Prime Minister 's letter advanced argument which I have long accept .the good comment upon they have come from the Times , which say : the Prime Minister be assuredly right to reject the policy of ' parity with Scotland , ' and to concentrate instead on the administrative co - ordination of economic development in Wales .Wales have half the population of Scotland and it do not have distinct system of law , administration of justice , land tenure , and local government , which be the administrative justification of a separate Scottish Office , with very often separate legislation to apply .the sense of nationhood which Welshmen share be acknowledge and respect in other part of the British Isles .but it need neither political nor administrative separatism to give it mean of expression , as the history of the past few hundred year bear witness .it can hardly be in the good interest of the Welsh people to saddle the country with a semi - autonomous bureaucracy which would he justify neither by scale nor function , even if it be Wales 's own .in the last resort , it be the taxpayer who have to pay and the ordinary citizen who have to suffer from any excess or deficiency of bureaucracy .
22057-1957-12-19.21.1.2.1-labour	my hon .friend the Member for Goole ( Mr. G. Jeger ) have initiate a debate about a bus shelter .I want to refer to another shelter , a shelter which be not like by those who live in it .its name be Rampton Mental Hospital .Rampton have many important facet which require investigation , but I can deal with but two or three in this debate .the other will in due course receive my attention and that of the House , because I believe that there be something radically wrong at Rampton .tonight , I want to show that because of inadequate parliamentary supervision , bureaucracy have go mad with a flagrant disregard of the wish and intention of Parliament , cause unnecessary suffering to patient and relative alike .
21833-1958-01-27.26.1.30.1-labour	"""certainly .I give credit to the british aircraft industry as a whole .it be a very good industry .some part be not as good as other , but , on the whole , it be excellent .I be not criticise the Bristol Company because of its difficulty , which may have be unavoidable .I hope that that statement satisfy the hon .member for Gillingham ( Mr.burden ) .in view of the great achievement embody in the quotation I have just make , let I recall a comment make some year ago by the right hon .Gentleman who be now Secretary of State for the Colonies .in March , 1949 , he say : the evil of bureaucracy , centralisation and monopoly will always prevent we have our proper position in the air ."""" — [ official REPORT , 1st March , 1949 ; Vol .462 , c.313 ."
16713-1958-01-31.4.1.19.2-conservative	I give that only as an example — I do not blame anyone for it .if we have well rule of procedure , this sort of situation need never arise .then we should all have a chance to take part — include Privy Councillors .I have nothing against Privy Councillors except that I be not one .I have long think that I ought to be , but that be another story .on the whole , I listen to they with fascinated interest ; and I do not think that they be great offender as far as length of speech be concern .they have be around and have have the experience , and I think that it be quite a good thing that they should have a little precedence , and even privilege .the real danger to the power and status of this House do not come from Privy Councillors , but from the grow power of the bureaucracy and the grow power of the party machine ; and I want to deal quite briefly with these two point .
21888-1958-02-03.10.1.173.3-conservative	"""regard the question of the part - time director of the Bank of England , I believe that our thought could well be condition by the thought of two great man , Mr. Bagehot , who in 1870 write """" Lombard Street , etc ."""" , and the right hon .Gentleman the Member for Bishop Auckland ( Mr. Dalton ) , who accept almost precisely the same interpretation of what the function of these director should be .it be as well that the whole matter , as my hon .friend the Member for Bath ( Mr. Pitman ) , who be a director of the Bank of England a few year back , have say , should be refer to the Radcliffe Committee .I be certain that the main object and the main purpose of these director be , as Bagehot say nearly 80 year ago , that they should be a live contact rather than the dead hand of bureaucracy of those train up through the bank ."""
17357-1958-03-25.25.1.3.10-conservative	as have be state week after week in the local paper , and even in the county Press , this be bureaucracy and bumbledon go mad .it be the very negation of modern democracy and be completely contrary to the establish principle of british public life .the Minister will know only too well that it be the little thing which control our life and which be of paramount importance .it be inconceivable to I that some unknown official in Whitehall , provide that he can retain the support of his Minister , can bring about this state of affair .
22218-1958-03-31.8.1.26.2-labour	"""there have be only three participant from the Government back bench in the discussion in the Committee .two of they be critical of the Government .we have have the suggestion from the hon .member for Caithness and Sutherland ( Sir D. Robertson ) that the Government be mere stooge and lackey of the Treasury .he remind the Secretary of State and the junior Ministers that they should be more than just tool of bureaucracy .I think that it be after he make that speech that the Secretary of State make his accustomed speech , """" I beg to move , that the question be now put """" ."""
16877-1958-04-24.10.1.6.10-labour	there be great indignation in Cardiff about this incident , which I share .I believe that this man be the victim of inhumanity that have be cause by bureaucracy .I be convinced that no body of medical opinion would fail to agree that a State registered nurse , operate from a port medical centre in a dock where accident be happen every day , many of they , fortunately , light , other very serious indeed , should not have the power , in an emergency , to be able to use morphine to relieve a man 's pain .indeed , it go far .the Medical Officer of the National Dock Labour Board have say that in his view the use of morphine in such circumstance would not merely relieve pain ; it might be the mean of save a man 's life .
16463-1958-04-28.12.1.60.3-conservative	in some respect , our debate today be certainly a curtain raiser for the discussion which , we hope , will be bring to a successful conclusion in Montreal in September .this Conference , to be hold in Montreal , arise from the practical idealism of the Prime Minister of Canada , Mr. Diefenbaker .her Majesty 's Government approach the Montreal Conference in precisely that spirit .we seek , among other thing , way of improve exist method of consultation and co - operation within the Commonwealth .if the creation of some new institution can achieve this , we shall be in favour of it , but we have no wish to duplicate machinery which be already work efficiently or to create a Commonwealth bureaucracy merely because other international organisation apparently can not do without an elaborate and costly apparatus of committee , civil servant , public relation officer and central statistical department .
17919-1958-04-30.17.1.22.7-labour	there be no serious doubt , therefore , that the post - war distribution of industry policy as a whole have find work for at least half a million people in the Development Areas who would not otherwise have be employ .if we think of the effect of that on the family concern there must be very few act of Parliament pass through this House that have bring more rapid result , in term of human happiness , than the distribution of Industry Act .it be describe on Second Reading by one conservative hon .Member as Socialism and bureaucracy run mad and as the very antithesis of private enterprise .we now find that the noble Lord the Member for Dorset , South have not merely forget nothing since then , but do not seem to have learn very much , either .
18334-1958-05-14.16.1.6.2-conservative	socialism always endeavour to support bureaucracy and nationalise industry .clearly , judge by those standard , this order find itself convict of be good socialism .the right hon .member for Battersea , North ( Mr. Jay ) have explain on more than one occasion that the philosophy of Socialism be that the man in Whitehall know good .the order would take away from local authority power which they have now to manage their own affair and vest power in an inspectorate which be control from Whitehall .personally , I disapprove of that .I believe that the power which have exist with the local authority ought to be leave with they .
21924-1958-06-11.27.1.153.1-labour	before my hon .friend rise in response to the Chancellor — and I be sure that in the light of what have be say he will feel disposed to ask the leave of the Committee to withdraw his Amendment — perhaps I should say that obviously we be gratify that the Chancellor have respond to the eloquence of my hon .friend and of right hon .and hon .gentleman opposite .I think this be a proof that , however small an item be in question , debate in this Committee sometimes have an effect on the bureaucracy and even on the usually stony - hearted denizen of no .11 .
21924-1958-06-13.4.1.28.9-labour	the various trade Ministers and head of trade corporation whom I meet in China make it pretty clear that they want to buy a lot more from this country .there be , of course , the difficulty to which my hon .friend the Member for Leeds , West refer .I think that my hon .friend regard it as a piece of discourtesy on the part of the Chinese that they be not in the position to say what good they want to buy .I do not think it be really a matter of discourtesy but of bureaucracy , because the Chinese have not yet get out the detail of their second five - year plan and , until they have do so , they have not decide what good they want to buy .
21924-1958-06-13.4.1.28.16-labour	the second matter on which I think something should be say relate to the treatment by the Chinese Government of United Kingdom national in China , particularly those associate with some of the old trading corporation which have be in China for many year .I do not think it would cost the chinese anything to treat they more generously .it would greatly help to improve the chinese reputation in economic affair generally throughout the world .those of we who have be try to get a well understanding of this problem , and have be press for more East - West trade — particularly more trade with China — would find our task greatly ease — not only in this country but abroad — if the chinese Government would overrule some of their local bureaucratic official — it be a question of local bureaucracy in this matter — and behave reasonably with some british trading interest there .
22107-1958-07-07.21.1.15.2-labour	"""""he say , """" it be a perfectly simple job .when I get there , the official all believe that it be their task in life to ensure that they never pay a penny more than be necessary .when I leave there , they have begin to learn that their job be to ensure that everyone get every penny to which he be entitle . """"there have , indeed , be a complete transformation of the spirit of the bureaucracy , and I think that the Parliamentary Secretary pay a perfectly legitimate tribute to the staff ."""
17849-1958-07-08.12.1.193.9-labour	I have always believe that there be two condition for the survival of democracy .the first be a clash of opinion of man of good will , and the second be the constant challenge to bureaucracy .however , the challenge to bureaucracy can not reasonably be extend to the abuse or even the use of Privilege which would inflict unjustified injury on those who be serve the House or who be in the employment of the State .
17849-1958-07-08.12.1.195.4-labour	moreover , I think that the practice that we often follow of send constituent ' letter to Ministers tend to encourage the citizen to ignore the avenue of redress which this House have put there for the protection of the citizen against the power of bureaucracy .I think that we sometimes encourage irresponsibility and encourage person to ignore the proper channel for express their grievance .we should discourage citizen from use member of Parliament as channel of communication to Ministers when they have proper approach through recognise machinery of appeal or otherwise .
17285-1958-07-08.12.1.199.4-labour	in spite of what my hon .friend the Member for Sowerby ( Mr. Houghton ) say , we be expect to listen to the grievance of quite humble people who find it difficult to put their grievance into word and well - nigh impossible to put they into writing .we have to deal with those grievance against a bureaucracy — I do not use that word in any hostile or derogatory sense — which touch their life more and more intimately with every year that go by , no matter which party in this House be in Government .
21813-1958-07-09.16.1.57.4-labour	there be no need of a great deal of legislation to ensure that , nor do we need to set up a bureaucracy for the purpose .we have exist legislation , and if we bring together into one Government Department these question of consumer protection we could manage to do the job with a small staff than that which be now scatter about so widely .the policing should be the job of the trade association .it should be make possible for consumer to bring forward their complaint more easily when they have be gyp and swindle by an unscrupulous manufacturer .they should be in a position to make a complaint and have the matter remedied .
17576-1958-07-23.18.1.7.2-conservative	other people be concern with the Bill besides the Corporation and bureaucracy of Manchester .a great number of thing in the Bill be very important for the benefit of the citizen of Manchester who can not necessarily be hold responsible for everything that their own bureaucracy do .that be so , I certainly shall not stand in the way of the Bill receive a Third Reading .I do not know what the rest of my hon .friend will say about it , but I shrewdly suspect that that be the line that they will take .however , I think that it ought to be make clear to Manchester that we consider that any difficulty that they have be their own fault .
22241-1958-07-23.18.1.11.2-labour	there have be a good deal of talk about the bureaucracy of Manchester , to which I take strong exception .this be not a question of bureaucrat try to do something which be not proper for their own city or people .in my opinion , the official and the Corporation of Manchester have be much malign for no good purpose or reason .I do not , however , wish to develop that point any further other than to try to clear the good name of the Manchester Corporation and its official of what I regard as an unnecessary and unreasonable attack by an hon .member represent an adjacent constituency .some of we think that we know the reason for his action and the action of some of his colleague , but it might be out of order if I be to develop that matter too much .
19808-1958-07-24.21.1.37.3-conservative	the people of St. Andrews return their candidate at the top of the poll — all of they — with over 4,700 vote against 700 .so the acquiescent councillor who have so misrepresent the people and act as lackey of bureaucracy by support the university — and I think the Scottish Office — be throw out .a fine , fresh virile , democratic body take control in St. Andrews and immediately undo all the work do by the previous council .
17849-1958-07-25.4.5.21.14-labour	in general , the Bill do a most important job .it set up a Council on tribunal to review the constitution and working of a variety of body put there by this House as protection for the citizen against arbitrary or unfair decision by bureaucracy .that be a most important change in our general procedure in connection with tribunal of this kind .
21773-1958-11-10.11.1.105.1-labour	a bureaucracy .
21854-1958-11-10.11.1.106.1-labour	— a bureaucracy ; I thank my hon .friend .it would not be unfair of we to say that the Bill be load with the power of bureaucracy , but we have not do so .but hon .member opposite do not bring that fairness into their argument at General Elections .
16877-1958-11-27.26.1.10.3-labour	if the right hon .Gentleman have see the look of bewildered comprehension on the face of his hon .friend as well as on our , who be , after all , sophisticated politician , I do not know what he would do if he be face with the responsibility of explain this complex and intricate system to Africans overseas and try to persuade they that this be a great advance and a tremendous new experiment .I tell the right hon .gentleman that in my view , have study this Command Paper most carefully and , I hope , have understand it , it seem to I to be a compound of bureaucracy run mad plus prejudice .
16877-1958-11-27.26.1.12.1-labour	I think that the principle of devaluation be the result of Civil Service bureaucracy .I do not ascribe that to the federal Prime Minister .as far as I can understand , it arise from the proposal of the Governor , and it should have be throw out by the right hon .Gentleman if he have look at it in the normal way and with the robust common sense that he usually exercise , even when I disagree with he .
18468-1958-12-01.15.1.52.28-labour	this be the very opposite of democracy .this be bureaucracy at height to which I never expect the Tory Party even to aspire , let alone to attain .this be uncontrolled bureaucracy .the Tories be change their mind .what be happen to they be remarkable .where have their ideal go ?democracy be down the drain and any local power , any scheme for allow people to run their own affair , have all go .
18286-1958-12-01.15.1.59.5-conservative	he liken my right hon .friend 's scheme for a Commission to bureaucracy .but this be exactly the same system as at present exist for local hospital management committee and many other service , practically all of which be set up by the Socialist Government between 1945–50 .I do not think it be at all seemly for the hon .and learn Gentleman to castigate my right hon .friend 's scheme as a scheme for bureaucracy .
