annotation_approver,comment_count,created_at,id,label,text,updated_at,user
,0,2021-03-22T11:44:49.939249Z,594,1,"it be for that reason , in the general interest of his constituent in rural area , that this procedure be put there .I assure he that it be operate in the most sympathetic and understanding way possible and be certainly not intend as an additional piece of bureaucracy .I regret that in the remain second I be not able to reply to my hon .Frend 's other point , but I will gladly do so in a letter to he as soon as I can .",2021-03-22T11:44:49.939282Z,1
,0,2021-03-22T11:45:10.743428Z,595,2,"I be sure there be no lazy bureaucracy associate with my right hon .friend 's measure .I rise at this late hour only for a moment to defend as vigorously as I be able the very constructive proposal contain in the Clause .it be a matter of considerable interest to my constituency .large acreage of western Worcestershire be devoted to hop , and mine be the second large hop - grow constituency in the country , the large being in Kent .",2021-03-22T11:45:10.743475Z,1
,0,2021-03-22T11:45:36.570556Z,596,3,"I have see that sort of thing in large - scale industry , where small body of man dispose of matter hand to they .this be hand over the whole machinery of the State to bureaucracy in its bad form .Most people dislike bureaucracy — that be quite natural because we all object to be govern and to the spread of bureaucratic power — but the Government seem to be give an extraordinary amount of power to this small committee .the President of the Board of Trade do not deal with this aspect of the matter .will this committee be able to act without be responsible to the House ?can it take action without further reference to the President of the Board of Trade ?",2021-03-22T11:45:36.570590Z,1
,0,2021-03-22T11:46:17.251616Z,597,5,"the Prime Minister 's letter advanced argument which I have long accept .the good comment upon they have come from the Times , which say : the Prime Minister be assuredly right to reject the policy of ' parity with Scotland , ' and to concentrate instead on the administrative co - ordination of economic development in Wales .Wales have half the population of Scotland and it do not have distinct system of law , administration of justice , land tenure , and local government , which be the administrative justification of a separate Scottish Office , with very often separate legislation to apply .the sense of nationhood which Welshmen share be acknowledge and respect in other part of the British Isles .but it need neither political nor administrative separatism to give it mean of expression , as the history of the past few hundred year bear witness .it can hardly be in the good interest of the Welsh people to saddle the country with a semi - autonomous bureaucracy which would he justify neither by scale nor function , even if it be Wales 's own .in the last resort , it be the taxpayer who have to pay and the ordinary citizen who have to suffer from any excess or deficiency of bureaucracy .",2021-03-22T11:46:17.251710Z,1
,0,2021-03-22T11:47:00.668397Z,598,5,"moreover , I think that the practice that we often follow of send constituent ' letter to Ministers tend to encourage the citizen to ignore the avenue of redress which this House have put there for the protection of the citizen against the power of bureaucracy .I think that we sometimes encourage irresponsibility and encourage person to ignore the proper channel for express their grievance .we should discourage citizen from use member of Parliament as channel of communication to Ministers when they have proper approach through recognise machinery of appeal or otherwise .",2021-03-22T11:47:00.668433Z,1
,0,2021-03-22T11:47:08.904181Z,599,3,"— a bureaucracy ; I thank my hon .friend .it would not be unfair of we to say that the Bill be load with the power of bureaucracy , but we have not do so .but hon .member opposite do not bring that fairness into their argument at General Elections .",2021-03-22T11:47:08.904232Z,1
,0,2021-03-22T11:47:46.786543Z,600,4,"the other argument advance be the argument of monopoly .I seem to spend my life in quote the hon .Member for North Angus and Mearns ( Sir C. Thornton - Kemsley ) when he be not in the House .I do not know why he be never here when I want to quote he , but the hon .Member speak about the danger of monopoly .how be it intend to overcome the danger of monopoly ?in place of twelve popularly elect council , there be to be one appoint , irresponsible state bureaucracy .I do not want to quarrel with my hon .friend the Member for Acton ( Mr. Sparks ) by get out of order and talk about the municipalisation of local house , but if there be any message from the Government 's policy about the control of rent property it be that they ought not to be give over to the control of local authority but to a State housing board .",2021-03-22T11:47:46.786600Z,1
,0,2021-03-22T11:48:05.715376Z,601,1,"my right hon .friend the Member for Flint , West also make it quite clear in the remark he address to this particular aspect of the matter , when he say that the suggestion to cover a long period ahead be merely a matter of convenience .I be not concerned with the convenience of the bureaucracy or anybody else .I be concerned with the proper application and utilisation of capital resource which be exceedingly scarce .there be no great protagonist in the House of Commons or elsewhere than I be of the need for further and continue expansion of electricity resource for industrial production and productivity , for enlargement of farm output , for commercial purpose , and for labour saving , cleanliness and efficiency in the home .they be all very desirable purpose , but to provide the financial sinew for they be extremely expensive , as I demonstrate a few moment ago , and our primary concern ought to be the correct application of capital and its most efficient use .",2021-03-22T11:48:05.715490Z,1
,0,2021-03-22T11:48:17.645602Z,602,1,"I know that all my hon .friend would join in the tribute pay by hon .member opposite to these great civil servant .what be wrong be not bureaucracy .I doubt whether there be anything like the old evil of bureaucracy in this great Ministry .what be wrong lie in the line , the figure and the norm draw up by Parliament .what be wrong be the basic minimum standard that we fix , below which no one shall go .",2021-03-22T11:48:17.645633Z,1
,0,2021-03-22T11:48:26.217618Z,603,5,"the answer be that the Minister can be call to account in the House of Commons as to whom he do or do not designate .he can be ask question about it .the real , substantial question raise by the Clause be whether the treatment of these people be to be leave to the autocratic bureaucracy of the right hon .Gentleman , or his successor , or whether he or his successor be to be answerable to the House about what be do in relation to these people .that be the effect of the Clause .",2021-03-22T11:48:26.217673Z,1
,0,2021-03-22T11:48:55.491618Z,604,2,"who make these regulation — Moses ?whilst it might be quite reasonable for a regular soldier , surely it be an absurd piece of bureaucracy to require a Territorial to alter his facial arrangement for a fortnight 's camp ?",2021-03-22T11:48:55.491662Z,1
,0,2021-03-22T11:49:13.589764Z,605,1,"the bureaucracy within the Treasury lead it to the conclusion enunciate this evening by the Economic Secretary , namely , that evidently a lawn mower , to be a lawn mower , must have a width of less than 18 inch if it be to be use for domestic purpose .there be appliance and tool have a width of less than 18 inch which be design specifically in such a fashion as to make it impossible for they to cut the short grass on a lawn .they be extensively use in orchard by horticulturist in the Vale of Evesham , in the Teyn Valley , in other agricultural area of the United Kingdom , by county council and by those responsible for operate cemetery , for example , where long grass be a serious consideration .",2021-03-22T11:49:13.589813Z,1
,0,2021-03-22T11:49:25.040483Z,606,4,"""""""the Gardiner Commission go on to try to analyse some of the reason for this situation .it give three main reason , to be find in deeply root feature of the adult world .first , the whole trend of our society be towards centralisation and bureaucratisation .these have become feature of voluntary body just as they be of industrial and governmental organisation .all the thing that be associate with bureaucracy — that it be cautious , slow , compromising and impersonal — be profoundly hostile to the mood of youth .secondly , a major element in the estrangement of the young … be the feeling that society itself and most of its institution be still run by people of different outlook and class background .thirdly """""""" — — and perhaps most fundamental in my view , the Gardiner Report suggest that — our nation provide no clear or inspiring objective to arouse the latent idealism of the young .apart from ' get on , ' the major message that the adult society transmit to youth be the necessity to consume .not only be personal consumption present as in itself the most important goal of human endeavour but as the outward and visible sign of personal success .vast resource of cash and persuasive talent be today mobilise to educate the young as consumer .virtually nothing be do to awaken they to the task and challenge of a democratic society .I be sorry to have quote at such length , but I be very glad that my hon .friend , in open the debate , refer both to this document and to the other document """""""" leisure for live """""""" , which we in the Labour Party produce shortly before the election — rather too shortly before , I be afraid .I must congratulate our opposite number in the Conservative Party on get their document through the printer rather more quickly than we be able to do because of the dispute , and also , of course , on the almost telepathic similarity of some of their proposal — even to the actual phrase — to our own proposal which appear only a few day afterwards .if it be true that great mind think alike , and if these proposal be acceptable to hon .member on both side of the House , so much the well .there will be some hope that they may be carry out by the present government .I myself , at any rate , feel that both the Report of the Gardiner Commission and our own document """""""" leisure for live """""""" have somewhat more permanent value than , shall I say , the average ephemeral election throwaway .""""""",2021-03-22T11:49:25.040534Z,1
,0,2021-03-22T11:50:04.586033Z,606,2,"""""""the Gardiner Commission go on to try to analyse some of the reason for this situation .it give three main reason , to be find in deeply root feature of the adult world .first , the whole trend of our society be towards centralisation and bureaucratisation .these have become feature of voluntary body just as they be of industrial and governmental organisation .all the thing that be associate with bureaucracy — that it be cautious , slow , compromising and impersonal — be profoundly hostile to the mood of youth .secondly , a major element in the estrangement of the young … be the feeling that society itself and most of its institution be still run by people of different outlook and class background .thirdly """""""" — — and perhaps most fundamental in my view , the Gardiner Report suggest that — our nation provide no clear or inspiring objective to arouse the latent idealism of the young .apart from ' get on , ' the major message that the adult society transmit to youth be the necessity to consume .not only be personal consumption present as in itself the most important goal of human endeavour but as the outward and visible sign of personal success .vast resource of cash and persuasive talent be today mobilise to educate the young as consumer .virtually nothing be do to awaken they to the task and challenge of a democratic society .I be sorry to have quote at such length , but I be very glad that my hon .friend , in open the debate , refer both to this document and to the other document """""""" leisure for live """""""" , which we in the Labour Party produce shortly before the election — rather too shortly before , I be afraid .I must congratulate our opposite number in the Conservative Party on get their document through the printer rather more quickly than we be able to do because of the dispute , and also , of course , on the almost telepathic similarity of some of their proposal — even to the actual phrase — to our own proposal which appear only a few day afterwards .if it be true that great mind think alike , and if these proposal be acceptable to hon .member on both side of the House , so much the well .there will be some hope that they may be carry out by the present government .I myself , at any rate , feel that both the Report of the Gardiner Commission and our own document """""""" leisure for live """""""" have somewhat more permanent value than , shall I say , the average ephemeral election throwaway .""""""",2021-03-22T11:50:04.586127Z,1
