id,verb
21405__Conservative__uk.proc.d.1936-03-11.15,eat
21405__Conservative__uk.proc.d.1936-03-11.15,be
17119__Labour__uk.proc.d.1936-03-25.23,state
17119__Labour__uk.proc.d.1936-03-25.23,create
17119__Labour__uk.proc.d.1936-03-25.23,be
22108__Conservative__uk.proc.d.1936-04-29.18,go
22108__Conservative__uk.proc.d.1936-04-29.18,critcise
22108__Conservative__uk.proc.d.1936-04-29.18,base
22108__Conservative__uk.proc.d.1936-04-29.18,want
22108__Conservative__uk.proc.d.1936-04-29.18,enjoy
22108__Conservative__uk.proc.d.1936-04-29.18,interfere
22108__Conservative__uk.proc.d.1936-04-29.18,have
22108__Conservative__uk.proc.d.1936-04-29.18,put
22108__Conservative__uk.proc.d.1936-04-29.18,suggest
22108__Conservative__uk.proc.d.1936-04-29.18,be
22108__Conservative__uk.proc.d.1936-04-29.18,badger
22108__Conservative__uk.proc.d.1936-04-29.18,put
19265__Conservative__uk.proc.d.1936-05-05.28,know
19265__Conservative__uk.proc.d.1936-05-05.28,feel
19265__Conservative__uk.proc.d.1936-05-05.28,increase
22415__Labour__uk.proc.d.1936-05-12.15,term
22415__Labour__uk.proc.d.1936-05-12.15,write
22415__Labour__uk.proc.d.1936-05-12.15,grow
21639__Independent__uk.proc.d.1936-05-27.24,be
21639__Independent__uk.proc.d.1936-05-27.24,badger
21639__Independent__uk.proc.d.1936-05-27.24,pay
21639__Independent__uk.proc.d.1936-05-27.24,talk
21639__Independent__uk.proc.d.1936-05-27.24,play
21639__Independent__uk.proc.d.1936-05-27.24,have
21639__Independent__uk.proc.d.1936-05-27.24,exist
21639__Independent__uk.proc.d.1936-05-27.24,permit
21639__Independent__uk.proc.d.1936-05-27.24,harass
21639__Independent__uk.proc.d.1936-05-27.24,blast
21639__Independent__uk.proc.d.1936-05-27.24,pay
21639__Independent__uk.proc.d.1936-05-27.24,provide
17601__Liberal__uk.proc.d.1936-06-22.33,let
17601__Liberal__uk.proc.d.1936-06-22.33,remember
17601__Liberal__uk.proc.d.1936-06-22.33,have
17601__Liberal__uk.proc.d.1936-06-22.33,be
17601__Liberal__uk.proc.d.1936-06-22.33,advise
17601__Liberal__uk.proc.d.1936-06-22.33,create
17601__Liberal__uk.proc.d.1936-06-22.33,introduce
17601__Liberal__uk.proc.d.1936-06-22.33,be
17601__Liberal__uk.proc.d.1936-06-22.33,go
17601__Liberal__uk.proc.d.1936-06-22.33,operate
17601__Liberal__uk.proc.d.1936-06-22.33,become
17601__Liberal__uk.proc.d.1936-06-22.33,embed
17601__Liberal__uk.proc.d.1936-06-22.33,be
17601__Liberal__uk.proc.d.1936-06-22.33,alter
17475__Communist__uk.proc.d.1936-07-09.14,allow
17475__Communist__uk.proc.d.1936-07-09.14,work
17475__Communist__uk.proc.d.1936-07-09.14,accord
17475__Communist__uk.proc.d.1936-07-09.14,deal
17475__Communist__uk.proc.d.1936-07-09.14,demand
22008__Independent__uk.proc.d.1936-07-09.14,say
17203__Conservative__uk.proc.d.1936-07-13.14,think
17203__Conservative__uk.proc.d.1936-07-13.14,have
17203__Conservative__uk.proc.d.1936-07-13.14,go
17203__Conservative__uk.proc.d.1936-07-13.14,persuade
22043__Labour__uk.proc.d.1936-12-09.12,want
22526__Labour__uk.proc.d.1936-12-16.32,gallant
22526__Labour__uk.proc.d.1936-12-16.32,convey
22526__Labour__uk.proc.d.1936-12-16.32,grow
22526__Labour__uk.proc.d.1936-12-16.32,express
21627__Liberal__uk.proc.d.1936-12-16.35,want
21627__Liberal__uk.proc.d.1936-12-16.35,keep
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,go
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,attempt
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,put
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,turn
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,go
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,fail
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,go
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,turn
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,say
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,fail
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,fish
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,allow
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,eliminate
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,see
21271__Ulster_Unionist_Party__uk.proc.d.1937-01-20.11,be
17744__Conservative__uk.proc.d.1937-01-20.11,go
17744__Conservative__uk.proc.d.1937-01-20.11,introduce
17744__Conservative__uk.proc.d.1937-01-20.11,go
17744__Conservative__uk.proc.d.1937-01-20.11,handle
17744__Conservative__uk.proc.d.1937-01-20.11,be
17744__Conservative__uk.proc.d.1937-01-20.11,run
17744__Conservative__uk.proc.d.1937-01-20.11,pick
17744__Conservative__uk.proc.d.1937-01-20.11,understand
22336__Labour__uk.proc.d.1937-01-20.11,talk
22336__Labour__uk.proc.d.1937-01-20.11,be
22336__Labour__uk.proc.d.1937-01-20.11,set
22336__Labour__uk.proc.d.1937-01-20.11,have
22336__Labour__uk.proc.d.1937-01-20.11,say
17195__Conservative__uk.proc.d.1937-01-29.4,become
17195__Conservative__uk.proc.d.1937-01-29.4,trust
17195__Conservative__uk.proc.d.1937-01-29.4,move
17195__Conservative__uk.proc.d.1937-01-29.4,initiate
17195__Conservative__uk.proc.d.1937-01-29.4,curtail
17195__Conservative__uk.proc.d.1937-01-29.4,establish
17195__Conservative__uk.proc.d.1937-01-29.4,get
17195__Conservative__uk.proc.d.1937-01-29.4,be
17195__Conservative__uk.proc.d.1937-01-29.4,have
17195__Conservative__uk.proc.d.1937-01-29.4,have
17195__Conservative__uk.proc.d.1937-01-29.4,be
17195__Conservative__uk.proc.d.1937-01-29.4,start
21238__Conservative__uk.proc.d.1937-02-12.2,have
21238__Conservative__uk.proc.d.1937-02-12.2,examine
21238__Conservative__uk.proc.d.1937-02-12.2,include
21238__Conservative__uk.proc.d.1937-02-12.2,condemn
19472__Labour__uk.proc.d.1937-04-12.37,develop
19472__Labour__uk.proc.d.1937-04-12.37,become
19472__Labour__uk.proc.d.1937-04-12.37,matter
19472__Labour__uk.proc.d.1937-04-12.37,criticise
19472__Labour__uk.proc.d.1937-04-12.37,reduce
19472__Labour__uk.proc.d.1937-04-12.37,suppress
19472__Labour__uk.proc.d.1937-04-12.37,fail
19472__Labour__uk.proc.d.1937-04-12.37,fulfil
19472__Labour__uk.proc.d.1937-04-12.37,perform
18257__Labour__uk.proc.d.1937-04-12.37,attract
18257__Labour__uk.proc.d.1937-04-12.37,be
18257__Labour__uk.proc.d.1937-04-12.37,have
18257__Labour__uk.proc.d.1937-04-12.37,call
18257__Labour__uk.proc.d.1937-04-12.37,look
18257__Labour__uk.proc.d.1937-04-12.37,devise
18257__Labour__uk.proc.d.1937-04-12.37,make
18257__Labour__uk.proc.d.1937-04-12.37,pay
18257__Labour__uk.proc.d.1937-04-12.37,remain
18257__Labour__uk.proc.d.1937-04-12.37,become
18257__Labour__uk.proc.d.1937-04-12.37,grow
18257__Labour__uk.proc.d.1937-04-28.38,say
18257__Labour__uk.proc.d.1937-04-28.38,witness
18257__Labour__uk.proc.d.1937-04-28.38,be
18257__Labour__uk.proc.d.1937-04-28.38,remove
18257__Labour__uk.proc.d.1937-04-28.38,necessitate
18257__Labour__uk.proc.d.1937-04-28.38,warrant
18257__Labour__uk.proc.d.1937-04-28.38,pay
18257__Labour__uk.proc.d.1937-04-28.38,continue
18257__Labour__uk.proc.d.1937-04-28.38,grow
18257__Labour__uk.proc.d.1937-04-28.38,tell
18257__Labour__uk.proc.d.1937-04-28.38,grow
18257__Labour__uk.proc.d.1937-04-28.38,have
18257__Labour__uk.proc.d.1937-04-28.38,involve
22243__Conservative__uk.proc.d.1937-05-04.23,attempt
22243__Conservative__uk.proc.d.1937-05-04.23,represent
22243__Conservative__uk.proc.d.1937-05-04.23,accuse
22243__Conservative__uk.proc.d.1937-05-04.23,be
22243__Conservative__uk.proc.d.1937-05-04.23,bolster
19218__Conservative__uk.proc.d.1937-05-31.13,mean
19218__Conservative__uk.proc.d.1937-05-31.13,expand
19218__Conservative__uk.proc.d.1937-05-31.13,collect
19218__Conservative__uk.proc.d.1937-05-31.13,discourage
19218__Conservative__uk.proc.d.1937-05-31.13,bind
19218__Conservative__uk.proc.d.1937-05-31.13,create
21635__Conservative__uk.proc.d.1937-06-01.28,think
21635__Conservative__uk.proc.d.1937-06-01.28,show
21635__Conservative__uk.proc.d.1937-06-01.28,be
21635__Conservative__uk.proc.d.1937-06-01.28,be
21635__Conservative__uk.proc.d.1937-06-01.28,embrace
21635__Conservative__uk.proc.d.1937-06-01.28,govern
21635__Conservative__uk.proc.d.1937-06-01.28,be
22175__Labour__uk.proc.d.1937-06-07.13,talk
22175__Labour__uk.proc.d.1937-06-07.13,know
22175__Labour__uk.proc.d.1937-06-07.13,do
22175__Labour__uk.proc.d.1937-06-07.13,do
18842__Labour__uk.proc.d.1937-07-05.16,believe
18842__Labour__uk.proc.d.1937-07-05.16,be
18842__Labour__uk.proc.d.1937-07-05.16,put
18842__Labour__uk.proc.d.1937-07-05.16,regard
18842__Labour__uk.proc.d.1937-07-05.16,educate
18842__Labour__uk.proc.d.1937-07-05.16,be
18842__Labour__uk.proc.d.1937-07-05.16,send
18842__Labour__uk.proc.d.1937-07-05.16,tune
18842__Labour__uk.proc.d.1937-07-05.16,be
18842__Labour__uk.proc.d.1937-07-05.16,fill
18842__Labour__uk.proc.d.1937-07-05.16,require
18842__Labour__uk.proc.d.1937-07-05.16,set
21979__Labour__uk.proc.d.1937-07-06.8,duplicate
21979__Labour__uk.proc.d.1937-07-06.8,overlap
21979__Labour__uk.proc.d.1937-07-06.8,thrust
21979__Labour__uk.proc.d.1937-07-06.8,be
21979__Labour__uk.proc.d.1937-07-06.8,be
21979__Labour__uk.proc.d.1937-07-06.8,create
21979__Labour__uk.proc.d.1937-07-06.8,hear
17812__Liberal__uk.proc.d.1937-07-08.13,take
17812__Liberal__uk.proc.d.1937-07-08.13,be
17812__Liberal__uk.proc.d.1937-07-08.13,sound
17812__Liberal__uk.proc.d.1937-07-08.13,express
17812__Liberal__uk.proc.d.1937-07-08.13,protest
17812__Liberal__uk.proc.d.1937-07-08.13,become
17812__Liberal__uk.proc.d.1937-07-08.13,find
17812__Liberal__uk.proc.d.1937-07-08.13,be
17812__Liberal__uk.proc.d.1937-07-08.13,conduct
17812__Liberal__uk.proc.d.1937-07-08.13,say
17812__Liberal__uk.proc.d.1937-07-08.13,send
17812__Liberal__uk.proc.d.1937-07-08.13,safeguard
21166__Labour__uk.proc.d.1937-07-12.12,seem
21166__Labour__uk.proc.d.1937-07-12.12,have
21166__Labour__uk.proc.d.1937-07-12.12,be
21166__Labour__uk.proc.d.1937-07-12.12,decide
21535__Labour__uk.proc.d.1937-07-12.12,be
21535__Labour__uk.proc.d.1937-07-12.12,be
21535__Labour__uk.proc.d.1937-07-12.12,believe
21535__Labour__uk.proc.d.1937-07-12.12,achieve
21535__Labour__uk.proc.d.1937-07-12.12,achieve
21535__Labour__uk.proc.d.1937-07-12.12,seek
21535__Labour__uk.proc.d.1937-07-12.12,set
21535__Labour__uk.proc.d.1937-07-12.12,approve
21535__Labour__uk.proc.d.1937-07-12.12,do
21535__Labour__uk.proc.d.1937-07-12.12,see
21535__Labour__uk.proc.d.1937-07-12.12,foment
21535__Labour__uk.proc.d.1937-07-12.12,achieve
18281__Conservative__uk.proc.d.1937-07-28.15,say
18281__Conservative__uk.proc.d.1937-07-28.15,accept
18281__Conservative__uk.proc.d.1937-07-28.15,believe
18281__Conservative__uk.proc.d.1937-07-28.15,be
18281__Conservative__uk.proc.d.1937-07-28.15,put
18281__Conservative__uk.proc.d.1937-07-28.15,go
18281__Conservative__uk.proc.d.1937-07-28.15,sit
18281__Conservative__uk.proc.d.1937-07-28.15,hatch
18281__Conservative__uk.proc.d.1937-07-28.15,get
18281__Conservative__uk.proc.d.1937-07-28.15,denounce
18281__Conservative__uk.proc.d.1937-07-28.15,allow
18281__Conservative__uk.proc.d.1937-07-28.15,ruin
21771__Labour__uk.proc.d.1937-10-27.10,become
21771__Labour__uk.proc.d.1937-10-27.10,organise
21771__Labour__uk.proc.d.1937-10-27.10,leave
21771__Labour__uk.proc.d.1937-10-27.10,administer
19436__Conservative__uk.proc.d.1937-11-12.4,be
19436__Conservative__uk.proc.d.1937-11-12.4,determine
19436__Conservative__uk.proc.d.1937-11-12.4,go
19436__Conservative__uk.proc.d.1937-11-12.4,have
19436__Conservative__uk.proc.d.1937-11-12.4,determine
19436__Conservative__uk.proc.d.1937-11-12.4,be
19436__Conservative__uk.proc.d.1937-11-12.4,be
19436__Conservative__uk.proc.d.1937-11-12.4,conceive
19436__Conservative__uk.proc.d.1937-11-12.4,deal
19436__Conservative__uk.proc.d.1937-11-12.4,observe
19436__Conservative__uk.proc.d.1937-11-12.4,grow
21920__Conservative__uk.proc.d.1937-11-18.30,wipe
21920__Conservative__uk.proc.d.1937-11-18.30,whale
21920__Conservative__uk.proc.d.1937-11-18.30,have
19708__Conservative__uk.proc.d.1937-11-24.20,manage
19708__Conservative__uk.proc.d.1937-11-24.20,manage
19708__Conservative__uk.proc.d.1937-11-24.20,be
19708__Conservative__uk.proc.d.1937-11-24.20,be
21639__Independent__uk.proc.d.1937-11-29.33,hope
21639__Independent__uk.proc.d.1937-11-29.33,resent
17431__Liberal__uk.proc.d.1937-11-29.33,endeavour
17431__Liberal__uk.proc.d.1937-11-29.33,offer
17431__Liberal__uk.proc.d.1937-11-29.33,regard
19147__Conservative__uk.proc.d.1937-11-29.33,take
19147__Conservative__uk.proc.d.1937-11-29.33,make
19147__Conservative__uk.proc.d.1937-11-29.33,let
19147__Conservative__uk.proc.d.1937-11-29.33,set
19147__Conservative__uk.proc.d.1937-11-29.33,be
19147__Conservative__uk.proc.d.1937-11-29.33,obtain
