w,p1,p2,p12,pmi_reg,pmi_2,pmi_3,npmi,period
second,96,12655,5,-17.89045429283184,-15.568526197944479,-13.246598103057117,11.115964247278399,1957-1960
piece,96,1502,3,-15.552669097514272,-13.967706596793116,-12.38274409607196,14.156649491304503,1957-1960
many,96,35771,2,-20.711465330582357,-19.711465330582357,-18.711465330582357,29.88032832197486,1957-1960
dislike,96,467,2,-14.45224124043082,-13.45224124043082,-12.452241240430817,20.850176767300503,1957-1960
good,96,33060,4,-19.597761604900835,-17.597761604900832,-15.597761604900834,14.136796739957285,1957-1960
interest,96,17251,2,-19.65935487423244,-18.65935487423244,-17.65935487423244,28.362453784131414,1957-1960
sometimes,96,3282,2,-17.26532202423487,-16.26532202423487,-15.26532202423487,24.908594463714646,1957-1960
local,96,30293,6,-18.88669683885819,-16.30173433813703,-13.716771837415875,10.540866206218604,1957-1960
hold,96,7963,2,-18.54405884300312,-17.54405884300312,-16.54405884300312,26.753421730753733,1957-1960
burnham,96,84,2,-11.977279923499916,-10.977279923499918,-9.977279923499918,17.279562348972274,1957-1960
create,96,4679,6,-16.19198451336031,-13.607022012639156,-11.022059511917998,9.036918621859616,1957-1960
private,96,9045,2,-18.72786728822976,-17.72786728822976,-16.72786728822976,27.018601263155716,1957-1960
surely,96,5916,2,-18.115368837820224,-17.115368837820224,-16.115368837820224,26.1349527861977,1957-1960
wish,96,15261,2,-19.48252438030494,-18.48252438030494,-17.48252438030494,28.107341307464264,1957-1960
people,96,50252,9,-19.031930894675334,-15.862005893233022,-12.692080891790711,8.661805029392344,1957-1960
managerial,96,117,2,-12.45532722030456,-11.45532722030456,-10.45532722030456,17.96923881338271,1957-1960
protection,96,2644,2,-16.95346896222885,-15.953468962228849,-14.953468962228849,24.458685597672524,1957-1960
always,96,10119,5,-17.567813509573078,-15.245885414685716,-12.923957319798351,10.915496257326053,1957-1960
challenge,96,1499,2,-16.134747168669016,-15.134747168669017,-14.134747168669017,23.277519726236033,1957-1960
really,96,10795,2,-18.983038123631026,-17.983038123631022,-16.983038123631022,27.386734961968614,1957-1960
doubt,96,10566,2,-18.952104195273524,-17.952104195273524,-16.952104195273524,27.34210673693203,1957-1960
describe,96,3317,2,-17.280625797509177,-16.280625797509177,-15.280625797509177,24.93067314152438,1957-1960
part,96,27722,4,-19.34370622454213,-17.34370622454213,-15.343706224542133,13.953534521279954,1957-1960
machinery,96,3410,2,-17.320518524632693,-16.320518524632693,-15.320518524632691,24.98822618111301,1957-1960
gentleman,96,55069,2,-21.333915291044857,-20.333915291044857,-19.333915291044857,30.778333793135644,1957-1960
find,96,23705,3,-19.532903772613757,-17.9479412718926,-16.362978771171445,17.77961522376038,1957-1960
change,96,13905,2,-19.348278624955206,-18.348278624955206,-17.348278624955206,27.91366562196081,1957-1960
executive,96,1771,2,-16.375310997473072,-15.37531099747307,-14.37531099747307,23.624579969068908,1957-1960
parliamentary,96,10227,4,-17.90505788558226,-15.905057885582261,-13.90505788558226,12.915769109179678,1957-1960
ministry,96,8265,2,-18.597761604900835,-17.597761604900832,-16.597761604900832,26.830898439025606,1957-1960
like,96,28917,4,-19.40459276763488,-17.40459276763488,-15.404592767634881,13.997454878168345,1957-1960
industry,96,37302,3,-20.1869653642586,-18.602002863537447,-17.01704036281629,18.3749677411055,1957-1960
seem,96,15102,3,-18.882452001882136,-17.29748950116098,-15.712527000439822,17.18754850701157,1957-1960
additional,96,3714,2,-17.44372060065658,-16.44372060065658,-15.443720600656578,25.1659692052199,1957-1960
come,96,32806,2,-20.586634578608447,-19.586634578608447,-18.586634578608447,29.700235615151662,1957-1960
indeed,96,10687,2,-18.968531804185435,-17.968531804185435,-16.96853180418544,27.36580676684291,1957-1960
country,96,41162,4,-19.913987962599236,-17.913987962599236,-15.913987962599236,14.364905838982216,1957-1960
party,96,14497,3,-18.823466760278116,-17.23850425955696,-15.653541758835804,17.13385782631153,1957-1960
control,96,10237,2,-18.906467869119908,-17.906467869119908,-16.906467869119908,27.27626743550582,1957-1960
lazy,96,52,3,-10.700439718141093,-9.115477217419937,-7.5305147166987805,9.73995997360784,1957-1960
strengthen,96,1005,2,-15.55794228678745,-14.55794228678745,-13.557942286787448,22.44536618358495,1957-1960
junior,96,495,2,-14.536247215688128,-13.536247215688128,-12.536247215688128,20.971371771209267,1957-1960
great,96,42728,4,-19.96785666961329,-17.96785666961329,-15.96785666961329,14.403763897216354,1957-1960
service,96,27645,4,-19.33969345196039,-17.33969345196039,-15.339693451960388,13.950639917728006,1957-1960
treat,96,3402,3,-16.732167425663384,-15.14720492494223,-13.562242424221074,15.230275137326599,1957-1960
resist,96,863,2,-15.338179249900112,-14.338179249900112,-13.338179249900112,22.12831514009689,1957-1960
bill,96,48521,4,-20.151284164450672,-18.151284164450672,-16.151284164450672,14.536078865798642,1957-1960
voice,96,975,2,-15.51422090935813,-14.51422090935813,-13.51422090935813,22.382289569186838,1957-1960
associate,96,1766,2,-16.371232128369623,-15.371232128369622,-14.371232128369622,23.618695404840928,1957-1960
bureaucracy,96,96,96,-6.584962500721156,0.0,6.584962500721156,1.4426950408889634,1957-1960
seek,96,6444,2,-18.238703279427725,-17.238703279427725,-16.238703279427725,26.312886773475654,1957-1960
perfectly,96,3962,2,-17.536975665610644,-16.536975665610644,-15.536975665610642,25.300507824966903,1957-1960
friend,96,67222,5,-20.29968025196784,-17.977752157080474,-15.655824062193114,12.612900500937481,1957-1960
know,96,42658,2,-20.965491207465245,-19.965491207465245,-18.96549120746525,30.246810194811275,1957-1960
whole,96,18564,2,-19.765182482891348,-18.765182482891348,-17.765182482891348,28.51513075033276,1957-1960
want,96,29053,5,-19.089433928760275,-16.76750583387291,-14.445577738985548,11.8609321809063,1957-1960
opportunity,96,9881,2,-18.855403841569203,-17.855403841569203,-16.855403841569203,27.202597616190598,1957-1960
authority,96,31713,3,-19.952786740132204,-18.36782423941105,-16.782861738689892,18.161809171388153,1957-1960
socialism,96,180,2,-13.076815597050832,-12.076815597050832,-11.07681559705083,18.865857012484685,1957-1960
mean,96,18085,3,-19.142505977543138,-17.55754347682198,-15.972580976100824,17.424259836698475,1957-1960
citizen,96,2108,3,-16.041659151637216,-14.456696650916058,-12.871734150194904,14.601747419997587,1957-1960
scheme,96,15807,4,-18.533238465815792,-16.533238465815792,-14.53323846581579,13.368905613122513,1957-1960
power,96,20226,4,-18.888885913426524,-16.888885913426524,-14.888885913426524,13.625451017608922,1957-1960
opposite,96,11352,3,-18.47065887406055,-16.885696373339396,-15.300733872618238,16.812718248813006,1957-1960
unfair,96,1802,2,-16.400345796534694,-15.400345796534694,-14.400345796534694,23.66069754952476,1957-1960
believe,96,21649,3,-19.402012765778103,-17.817050265056945,-16.232087764335787,17.660473094925887,1957-1960
scale,96,3027,2,-17.14863546054867,-16.14863546054867,-15.14863546054867,24.740251336946194,1957-1960
proper,96,5130,2,-17.909705611215575,-16.909705611215575,-15.909705611215573,25.838243469081952,1957-1960
exist,96,9088,3,-18.14974711950468,-16.564784618783527,-14.97982211806237,16.520611781530608,1957-1960
become,96,10881,3,-18.409523530691434,-16.82456102997028,-15.239598529249125,16.757070461145133,1957-1960
servant,96,1515,2,-16.15006457908147,-15.15006457908147,-14.15006457908147,23.29961807827734,1957-1960
happen,96,12175,3,-18.57163415185707,-16.98667165113591,-15.401709150414755,16.904629907582937,1957-1960
product,96,2518,2,-16.883025068440176,-15.883025068440174,-14.883025068440174,24.357056541442695,1957-1960
rule,96,4662,3,-17.186733289128867,-15.60177078840771,-14.016808287686555,15.64403881733838,1957-1960
tory,96,2430,2,-16.831703099214298,-15.8317030992143,-14.8317030992143,24.283014590951865,1957-1960
present,96,27482,2,-20.33116188024493,-19.33116188024493,-18.33116188024493,29.331666420140095,1957-1960
prevent,96,4514,2,-17.725153203912992,-16.725153203912992,-15.725153203912994,25.571990626282396,1957-1960
purpose,96,12703,3,-18.632881630406104,-17.04791912968495,-15.462956628963791,16.960379765090256,1957-1960
even,96,18712,7,-17.96928372501598,-15.161928802958377,-12.354573880900773,9.234385119857452,1957-1960
organisation,96,6195,4,-17.181851067749122,-15.18185106774912,-13.18185106774912,12.3940856643672,1957-1960
must,96,36309,4,-19.7330020771422,-17.7330020771422,-15.7330020771422,14.234352119272334,1957-1960
constant,96,813,2,-15.252074042796183,-14.252074042796183,-13.252074042796187,22.004091584813338,1957-1960
anything,96,7882,2,-18.52930853485899,-17.52930853485899,-16.52930853485899,26.732141534342613,1957-1960
general,96,23317,2,-20.09405706145311,-19.09405706145311,-18.09405706145311,28.98959647389826,1957-1960
often,96,5236,2,-17.939211882666395,-16.939211882666395,-15.939211882666397,25.880812020579175,1957-1960
would,96,112696,7,-20.55968436290885,-17.75232944085125,-14.944974518793643,10.565587713744142,1957-1960
much,96,32480,3,-19.98726401207254,-18.402301511351382,-16.817339010630228,18.193191736735326,1957-1960
international,96,3867,3,-16.916999049082808,-15.33203654836165,-13.747074047640496,15.398516131284078,1957-1960
hospital,96,7901,2,-18.532782046741186,-17.532782046741186,-16.532782046741186,26.737152752709523,1957-1960
secretary,96,33486,3,-20.031270431771503,-18.446307931050345,-16.86134543032919,18.233248106168727,1957-1960
talk,96,8152,2,-18.57790083688697,-17.57790083688697,-16.57790083688697,26.802245407503754,1957-1960
matter,96,50253,4,-20.201884605038416,-18.201884605038416,-16.201884605038416,14.57257936815001,1957-1960
state,96,27544,6,-18.749450465569915,-16.16448796484876,-13.579525464127604,10.4642675468308,1957-1960
nationalise,96,2317,2,-16.763004829585977,-15.763004829585979,-14.763004829585977,24.183903938041432,1957-1960
think,96,70088,12,-19.09687983630378,-15.511917335582625,-11.92695483486147,7.685149797451357,1957-1960
call,96,11639,2,-19.091641990319562,-18.091641990319562,-17.091641990319562,27.54341722186153,1957-1960
house,96,66221,3,-21.01500117651432,-19.430038675793163,-17.84507617507201,19.12867841847247,1957-1960
reasonably,96,1477,3,-15.52845411076479,-13.943491610043635,-12.358529109322475,14.134608060492875,1957-1960
unnecessary,96,1339,2,-15.971902746045467,-14.971902746045465,-13.971902746045465,23.042584885280615,1957-1960
exchange,96,2681,2,-16.97351800470372,-15.973518004703719,-14.973518004703719,24.48761025182559,1957-1960
principle,96,8238,2,-18.593040911589412,-17.593040911589412,-16.593040911589412,26.82408791819566,1957-1960
question,96,39907,4,-19.86931670891182,-17.86931670891182,-15.869316708911821,14.332682340899652,1957-1960
