id,adj
17119__Labour__uk.proc.d.1936-03-25.23,additional
22108__Conservative__uk.proc.d.1936-04-29.18,enormous
22108__Conservative__uk.proc.d.1936-04-29.18,vast
22043__Labour__uk.proc.d.1936-12-09.12,much
22336__Labour__uk.proc.d.1937-01-20.11,oppressive
18257__Labour__uk.proc.d.1937-04-28.38,new
18842__Labour__uk.proc.d.1937-07-05.16,new
21535__Labour__uk.proc.d.1937-07-12.12,gigantic
19436__Conservative__uk.proc.d.1937-11-12.4,huge
19436__Conservative__uk.proc.d.1937-11-12.4,vast
19708__Conservative__uk.proc.d.1937-11-24.20,uncontrolled
17812__Liberal__uk.proc.d.1937-12-15.30,huge
21416__Labour__uk.proc.d.1938-02-04.2,old
21416__Labour__uk.proc.d.1938-02-04.2,little
19100__Conservative__uk.proc.d.1938-03-15.32,unimaginative
19100__Conservative__uk.proc.d.1938-03-15.32,overburdened
17812__Liberal__uk.proc.d.1938-04-11.38,huge
17812__Liberal__uk.proc.d.1938-04-11.38,huge
17812__Liberal__uk.proc.d.1938-04-11.38,enlarged
21880__Conservative__uk.proc.d.1938-07-15.4,great
21880__Conservative__uk.proc.d.1938-07-15.4,own
21103__Conservative__uk.proc.d.1938-07-21.17,central
16628__National_Liberal__uk.proc.d.1938-12-12.31,impersonal
21535__Labour__uk.proc.d.1938-12-13.15,less
17589__Labour__uk.proc.d.1938-12-20.29,central
na__na__uk.proc.d.1939-02-14.44,uncontrolled
19472__Labour__uk.proc.d.1939-06-07.13,minded
19472__Labour__uk.proc.d.1939-06-15.23,skilled
18281__Conservative__uk.proc.d.1939-07-07.8,own
21438__Liberal__uk.proc.d.1939-09-21.14,much
"19033__National_Liberal,_1932__uk.proc.d.1939-09-28.4",expensive
"19033__National_Liberal,_1932__uk.proc.d.1939-09-28.4",national
18397__Independent_Labour_Party__uk.proc.d.1939-10-03.35,terrorist
18397__Independent_Labour_Party__uk.proc.d.1939-11-29.7,Russian
"19033__National_Liberal,_1932__uk.proc.d.1939-12-06.25",rigid
"19033__National_Liberal,_1932__uk.proc.d.1939-12-06.25",centralised
"19033__National_Liberal,_1932__uk.proc.d.1939-12-06.25",centralised
17812__Liberal__uk.proc.d.1940-02-13.27,huge
17589__Labour__uk.proc.d.1940-02-21.21,remote
17589__Labour__uk.proc.d.1940-02-29.11,centralised
18875__Conservative__uk.proc.d.1940-03-19.32,vast
18875__Conservative__uk.proc.d.1940-03-19.32,great
21894__Labour__uk.proc.d.1940-10-17.10,higher
21894__Labour__uk.proc.d.1940-10-17.10,higher
21894__Labour__uk.proc.d.1940-10-17.10,higher
21880__Conservative__uk.proc.d.1941-02-06.15,colossal
16522__Labour__uk.proc.d.1941-05-06.24,mere
21816__Labour__uk.proc.d.1941-06-11.28,national
21405__Conservative__uk.proc.d.1941-07-29.27,hidebound
17326__Conservative__uk.proc.d.1941-12-04.18,further
21879__Labour__uk.proc.d.1942-03-03.12,undue
18397__Independent_Labour_Party__uk.proc.d.1942-05-19.29,totalitarian
21675__Labour__uk.proc.d.1942-06-24.35,colonial
18268__Conservative__uk.proc.d.1942-06-24.35,Colonial
19081__Labour__uk.proc.d.1942-11-17.29,more
18257__Labour__uk.proc.d.1942-12-02.38,more
21894__Labour__uk.proc.d.1942-12-15.27,medical
17069__Conservative__uk.proc.d.1943-01-19.24,central
16872__Conservative__uk.proc.d.1943-02-03.8,vast
21028__Independent__uk.proc.d.1943-03-16.23,undiluted
17011__Conservative__uk.proc.d.1943-04-20.32,more
19211__Labour__uk.proc.d.1943-05-18.10,less
19211__Labour__uk.proc.d.1943-05-18.10,more
22058__Conservative__uk.proc.d.1943-07-13.14,educational
16713__Conservative__uk.proc.d.1943-07-15.33,pure
21882__Labour__uk.proc.d.1943-07-15.33,pure
na__na__uk.proc.d.1943-09-22.21,centralised
21535__Labour__uk.proc.d.1943-10-27.41,centralised
16642__Labour__uk.proc.d.1943-10-27.50,upper
na__na__uk.proc.d.1943-12-01.26,arbitrary
16713__Conservative__uk.proc.d.1943-12-01.26,arbitrary
na__na__uk.proc.d.1943-12-01.26,arbitrary
"19033__National_Liberal,_1932__uk.proc.d.1943-12-07.24",secretive
17139__Conservative__uk.proc.d.1944-02-04.15,ignorant
18727__Conservative__uk.proc.d.1944-02-04.15,brutal
18727__Conservative__uk.proc.d.1944-02-04.15,centralised
21551__Independent_Progress__uk.proc.d.1944-03-09.34,narrow
19423__Conservative__uk.proc.d.1944-03-14.28,monopolistic
17602__Conservative__uk.proc.d.1944-05-19.6,centralised
21907__Labour__uk.proc.d.1944-05-24.41,German
22212__Labour__uk.proc.d.1944-06-09.6,permanent
18397__Independent_Labour_Party__uk.proc.d.1944-06-13.29,greater
22132__Conservative__uk.proc.d.1944-06-13.29,further
18752__Conservative__uk.proc.d.1944-06-13.29,own
16765__Conservative__uk.proc.d.1944-06-29.34,vast
16765__Conservative__uk.proc.d.1944-06-29.34,new
21894__Labour__uk.proc.d.1944-07-20.36,overriding
21894__Labour__uk.proc.d.1944-07-20.36,local
18881__Independent__uk.proc.d.1944-10-20.3,unwieldy
19449__Conservative__uk.proc.d.1944-12-01.6,worse
18475__Conservative__uk.proc.d.1945-01-16.34,rigid
21995__Conservative__uk.proc.d.1945-01-24.23,blatant
21894__Labour__uk.proc.d.1945-02-16.5,federal
19081__Labour__uk.proc.d.1945-02-23.9,much
21048__Independent__uk.proc.d.1945-02-23.9,presumably
20980__Conservative__uk.proc.d.1945-02-27.16,expensive
17218__Labour__uk.proc.d.1945-02-27.16,alone
17218__Labour__uk.proc.d.1945-02-27.16,expensive
21880__Conservative__uk.proc.d.1945-03-23.6,new
16632__Labour__uk.proc.d.1945-10-12.10,much
21977__Labour__uk.proc.d.1945-10-16.38,huge
16642__Labour__uk.proc.d.1946-04-30.5,huge
18549__Conservative__uk.proc.d.1946-05-15.5,privileged
21655__Conservative__uk.proc.d.1946-05-28.18,great
21655__Conservative__uk.proc.d.1946-05-28.18,vast
21655__Conservative__uk.proc.d.1946-05-28.18,vast
