id,adj
19017__Conservative__uk.proc.d.1936-03-30.39,control
17272__Conservative__uk.proc.d.1936-05-15.5,board
17272__Conservative__uk.proc.d.1936-05-15.5,system
21008__Liberal__uk.proc.d.1936-06-22.31,thing
17601__Liberal__uk.proc.d.1936-06-22.33,system
17203__Conservative__uk.proc.d.1936-07-13.14,institutions
na__na__uk.proc.d.1936-07-17.5,control
22203__Conservative__uk.proc.d.1936-07-17.5,jacket
18611__Labour__uk.proc.d.1936-07-20.16,machinery
21008__Liberal__uk.proc.d.1936-07-21.39,machine
17431__Liberal__uk.proc.d.1936-11-13.3,Board
17431__Liberal__uk.proc.d.1936-11-13.3,body
17744__Conservative__uk.proc.d.1937-01-20.11,method
na__na__uk.proc.d.1937-01-20.11,powers
"18223__National_Liberal,_1932__uk.proc.d.1937-01-29.4",organisation
"18223__National_Liberal,_1932__uk.proc.d.1937-01-29.4",organisation
16642__Labour__uk.proc.d.1937-02-02.21,tyranny
18281__Conservative__uk.proc.d.1937-02-24.9,control
16522__Labour__uk.proc.d.1937-03-08.16,mind
16522__Labour__uk.proc.d.1937-03-08.16,mind
17812__Liberal__uk.proc.d.1937-03-10.24,powers
18281__Conservative__uk.proc.d.1937-03-25.15,officials
17431__Liberal__uk.proc.d.1937-05-04.23,powers
na__na__uk.proc.d.1937-05-04.28,powers
18257__Labour__uk.proc.d.1937-06-30.36,machine
18257__Labour__uk.proc.d.1937-06-30.36,machine
17812__Liberal__uk.proc.d.1937-07-01.43,powers
na__na__uk.proc.d.1937-07-08.13,methods
na__na__uk.proc.d.1937-11-17.30,dictatorship
19007__Conservative__uk.proc.d.1937-11-17.30,control
17812__Liberal__uk.proc.d.1937-11-17.30,interference
na__na__uk.proc.d.1937-11-18.30,bodies
18281__Conservative__uk.proc.d.1937-11-29.33,staff
17087__Conservative__uk.proc.d.1938-02-03.31,power
17597__Conservative__uk.proc.d.1938-02-04.2,control
17597__Conservative__uk.proc.d.1938-02-04.2,control
17597__Conservative__uk.proc.d.1938-02-04.2,control
16713__Conservative__uk.proc.d.1938-03-09.36,view
na__na__uk.proc.d.1938-04-05.16,control
21027__Liberal__uk.proc.d.1938-04-27.14,extravagance
21027__Liberal__uk.proc.d.1938-04-27.14,expenditure
21103__Conservative__uk.proc.d.1938-04-27.14,waste
21338__National_Liberal__uk.proc.d.1938-04-28.8,Departments
16642__Labour__uk.proc.d.1938-05-31.15,control
21008__Liberal__uk.proc.d.1938-06-24.6,machine
na__na__uk.proc.d.1938-06-29.16,control
22043__Labour__uk.proc.d.1938-07-01.5,mind
16977__Conservative__uk.proc.d.1938-07-01.5,body
16977__Conservative__uk.proc.d.1938-07-01.5,manner
18963__Conservative__uk.proc.d.1938-07-01.5,body
18281__Conservative__uk.proc.d.1938-07-11.29,officiousness
21880__Conservative__uk.proc.d.1938-07-15.4,method
21880__Conservative__uk.proc.d.1938-07-15.4,system
21880__Conservative__uk.proc.d.1938-07-15.4,expenditure
21880__Conservative__uk.proc.d.1938-07-15.4,expenditure
21880__Conservative__uk.proc.d.1938-07-15.4,action
18147__Conservative__uk.proc.d.1938-07-21.17,revolution
22212__Labour__uk.proc.d.1938-11-15.12,monopoly
18257__Labour__uk.proc.d.1938-12-08.34,control
19714__Labour__uk.proc.d.1939-02-10.3,action
17199__Conservative__uk.proc.d.1939-02-10.3,control
17199__Conservative__uk.proc.d.1939-02-10.3,control
21702__Conservative__uk.proc.d.1939-02-14.44,control
21882__Labour__uk.proc.d.1939-03-01.39,machine
19423__Conservative__uk.proc.d.1939-03-10.3,machine
16765__Conservative__uk.proc.d.1939-07-10.30,type
21804__Labour__uk.proc.d.1939-07-10.30,features
18963__Conservative__uk.proc.d.1939-07-19.36,management
17589__Labour__uk.proc.d.1939-09-21.14,system
16522__Labour__uk.proc.d.1939-09-28.2,machine
16546__Conservative__uk.proc.d.1939-10-10.19,ramp
21196__Labour__uk.proc.d.1939-10-11.16,pressure
18268__Conservative__uk.proc.d.1939-10-18.9,fog
18268__Conservative__uk.proc.d.1939-10-18.9,control
18268__Conservative__uk.proc.d.1939-10-18.9,control
18268__Conservative__uk.proc.d.1939-10-18.9,control
19456__Conservative__uk.proc.d.1939-10-24.12,bullying
22339__Labour__uk.proc.d.1939-10-31.11,action
22088__Conservative__uk.proc.d.1939-11-02.12,rules
19100__Conservative__uk.proc.d.1939-11-02.12,plague
21101__Conservative__uk.proc.d.1940-01-23.15,invention
na__na__uk.proc.d.1940-02-06.14,control
22212__Labour__uk.proc.d.1940-02-06.32,scheme
22212__Labour__uk.proc.d.1940-02-06.32,system
22238__Labour__uk.proc.d.1940-02-29.11,body
17671__National_Liberal__uk.proc.d.1940-02-29.11,proposal
22658__Labour__uk.proc.d.1940-02-29.11,piece
22658__Labour__uk.proc.d.1940-02-29.11,machinery
22658__Labour__uk.proc.d.1940-02-29.11,machinery
17589__Labour__uk.proc.d.1940-02-29.11,administration
17601__Liberal__uk.proc.d.1940-03-01.2,bodies
22658__Labour__uk.proc.d.1940-03-01.2,machinery
17601__Liberal__uk.proc.d.1940-03-08.4,basis
17601__Liberal__uk.proc.d.1940-03-11.19,institutions
14182__Labour__uk.proc.d.1940-03-11.19,set
18037__Conservative__uk.proc.d.1940-04-03.11,body
22088__Conservative__uk.proc.d.1940-11-13.19,control
22088__Conservative__uk.proc.d.1940-11-13.19,control
17107__Conservative__uk.proc.d.1941-02-04.15,methods
21438__Liberal__uk.proc.d.1941-02-26.26,type
17577__National_Liberal__uk.proc.d.1941-05-07.32,machine
19298__Conservative__uk.proc.d.1941-07-30.42,days
na__na__uk.proc.d.1941-08-05.6,control
17199__Conservative__uk.proc.d.1941-10-21.13,control
21626__Liberal__uk.proc.d.1941-11-18.12,machine
22008__Independent__uk.proc.d.1941-11-25.11,interference
16608__Labour__uk.proc.d.1941-12-09.12,machines
17744__Conservative__uk.proc.d.1942-01-20.24,jargon
21260__Liberal__uk.proc.d.1942-01-28.34,organisation
17323__Conservative__uk.proc.d.1942-02-24.14,machine
17323__Conservative__uk.proc.d.1942-02-24.14,machine
17323__Conservative__uk.proc.d.1942-02-24.14,machine
17323__Conservative__uk.proc.d.1942-02-24.14,machine
17323__Conservative__uk.proc.d.1942-02-24.14,machine
17323__Conservative__uk.proc.d.1942-02-24.14,machine
21786__Conservative__uk.proc.d.1942-02-26.16,routine
"19033__National_Liberal,_1932__uk.proc.d.1942-03-24.25",organisations
18397__Independent_Labour_Party__uk.proc.d.1942-05-19.29,dictatorship
18257__Labour__uk.proc.d.1942-06-23.27,methods
18257__Labour__uk.proc.d.1942-06-23.27,dispensations
18257__Labour__uk.proc.d.1942-06-23.27,control
18257__Labour__uk.proc.d.1942-06-23.27,administration
18257__Labour__uk.proc.d.1942-06-23.27,machinery
21626__Liberal__uk.proc.d.1942-06-30.24,service
21894__Labour__uk.proc.d.1942-06-30.24,medicine
16571__Independent__uk.proc.d.1942-07-07.19,control
16645__Labour__uk.proc.d.1942-07-22.36,methods
21882__Labour__uk.proc.d.1942-07-30.37,supervision
19593__Conservative__uk.proc.d.1942-09-10.21,dishonesty
21882__Labour__uk.proc.d.1942-09-30.29,tendencies
18823__Conservative__uk.proc.d.1942-10-14.30,control
18823__Conservative__uk.proc.d.1942-10-14.30,control
18823__Conservative__uk.proc.d.1942-10-14.30,control
19081__Labour__uk.proc.d.1942-10-14.30,methods
19081__Labour__uk.proc.d.1942-10-14.30,methods
21882__Labour__uk.proc.d.1942-10-14.30,things
21882__Labour__uk.proc.d.1942-10-14.30,instrument
19449__Conservative__uk.proc.d.1942-11-17.29,influence
18244__Labour__uk.proc.d.1942-11-17.29,state
19147__Conservative__uk.proc.d.1942-11-18.32,tyranny
17965__Conservative__uk.proc.d.1942-12-02.20,control
18257__Labour__uk.proc.d.1942-12-02.38,administration
18257__Labour__uk.proc.d.1942-12-02.38,institutions
18257__Labour__uk.proc.d.1942-12-02.38,marvels
18257__Labour__uk.proc.d.1942-12-02.38,structure
18257__Labour__uk.proc.d.1942-12-02.38,devices
18752__Conservative__uk.proc.d.1943-01-26.30,control
18752__Conservative__uk.proc.d.1943-01-26.30,control
21880__Conservative__uk.proc.d.1943-01-27.35,control
18752__Conservative__uk.proc.d.1943-01-28.2,scheme
22234__Independent__uk.proc.d.1943-01-28.14,mentality
18117__Conservative__uk.proc.d.1943-02-02.14,control
18117__Conservative__uk.proc.d.1943-02-03.11,control
18117__Conservative__uk.proc.d.1943-02-03.11,control
18117__Conservative__uk.proc.d.1943-02-03.11,control
16642__Labour__uk.proc.d.1943-02-03.11,control
18117__Conservative__uk.proc.d.1943-02-03.11,control
18117__Conservative__uk.proc.d.1943-02-03.11,organisation
19435__Labour__uk.proc.d.1943-02-03.11,government
17631__Conservative__uk.proc.d.1943-02-09.24,autocracy
22564__Conservative__uk.proc.d.1943-02-24.36,control
17744__Conservative__uk.proc.d.1943-02-24.36,controls
18266__Labour__uk.proc.d.1943-02-24.36,administration
16645__Labour__uk.proc.d.1943-03-25.34,action
21168__Conservative__uk.proc.d.1943-03-25.34,control
17540__Conservative__uk.proc.d.1943-03-31.33,government
16765__Conservative__uk.proc.d.1943-04-08.35,pride
21804__Labour__uk.proc.d.1943-04-20.32,handling
16645__Labour__uk.proc.d.1943-04-20.32,inquiry
16645__Labour__uk.proc.d.1943-04-20.32,officials
17475__Communist__uk.proc.d.1943-05-05.15,treatment
na__na__uk.proc.d.1943-05-05.15,business
17597__Conservative__uk.proc.d.1943-05-06.12,body
18770__Conservative__uk.proc.d.1943-05-26.14,attitude
17597__Conservative__uk.proc.d.1943-05-27.28,Measure
17744__Conservative__uk.proc.d.1943-05-27.28,methods
na__na__uk.proc.d.1943-05-27.28,control
17597__Conservative__uk.proc.d.1943-06-03.12,decision
22504__Labour__uk.proc.d.1943-06-30.16,fashion
"19033__National_Liberal,_1932__uk.proc.d.1943-07-13.14",career
19147__Conservative__uk.proc.d.1943-07-15.33,regulation
19147__Conservative__uk.proc.d.1943-07-15.33,government
19147__Conservative__uk.proc.d.1943-07-15.33,control
18257__Labour__uk.proc.d.1943-07-21.36,powers
17788__Conservative__uk.proc.d.1943-07-28.42,control
21894__Labour__uk.proc.d.1943-10-27.50,attitude
22549__Conservative__uk.proc.d.1944-01-19.42,scheme
21626__Liberal__uk.proc.d.1944-02-04.6,Government
17139__Conservative__uk.proc.d.1944-02-04.15,tyranny
17658__Conservative__uk.proc.d.1944-02-08.12,service
17126__Labour__uk.proc.d.1944-02-08.12,interference
21894__Labour__uk.proc.d.1944-03-16.33,service
17214__Conservative__uk.proc.d.1944-03-16.34,powers
21786__Conservative__uk.proc.d.1944-03-17.2,organisation
21786__Conservative__uk.proc.d.1944-03-17.2,Service
21786__Conservative__uk.proc.d.1944-03-17.2,machine
na__na__uk.proc.d.1944-03-23.18,type
18147__Conservative__uk.proc.d.1944-04-05.38,efficiency
18823__Conservative__uk.proc.d.1944-04-06.33,currency
17280__Conservative__uk.proc.d.1944-05-03.35,State
17965__Conservative__uk.proc.d.1944-05-17.30,drafting
17214__Conservative__uk.proc.d.1944-05-19.6,powers
18397__Independent_Labour_Party__uk.proc.d.1944-05-24.43,government
na__na__uk.proc.d.1944-05-25.21,service
"19033__National_Liberal,_1932__uk.proc.d.1944-06-21.44",planning
19081__Labour__uk.proc.d.1944-06-22.31,fashion
18257__Labour__uk.proc.d.1944-06-23.8,systems
16642__Labour__uk.proc.d.1944-06-27.15,interference
17475__Communist__uk.proc.d.1944-07-12.38,argument
16642__Labour__uk.proc.d.1944-07-21.12,administration
21626__Liberal__uk.proc.d.1944-08-01.25,government
21626__Liberal__uk.proc.d.1944-08-01.25,government
19137__Conservative__uk.proc.d.1944-10-05.16,action
21675__Labour__uk.proc.d.1944-10-20.3,arrangements
21675__Labour__uk.proc.d.1944-10-20.3,word
22088__Conservative__uk.proc.d.1944-11-01.31,control
17968__Conservative__uk.proc.d.1944-11-02.36,plea
16773__Conservative__uk.proc.d.1944-11-10.4,path
18823__Conservative__uk.proc.d.1944-12-05.21,controls
16664__Conservative__uk.proc.d.1945-02-02.6,attempt
19468__Conservative__uk.proc.d.1945-02-08.16,control
19470__Conservative__uk.proc.d.1945-02-15.34,machines
21894__Labour__uk.proc.d.1945-02-16.5,officers
17218__Labour__uk.proc.d.1945-02-27.16,apparatus
17218__Labour__uk.proc.d.1945-02-27.16,purposes
16603__Conservative__uk.proc.d.1945-03-02.6,manner
19266__Conservative__uk.proc.d.1945-03-20.12,control
16773__Conservative__uk.proc.d.1945-06-05.18,Commission
16773__Conservative__uk.proc.d.1945-06-05.18,Commissions
17218__Labour__uk.proc.d.1945-06-05.19,churchmanship
19241__Labour__uk.proc.d.1945-06-12.30,State
22504__Labour__uk.proc.d.1945-08-23.38,machinery
17199__Conservative__uk.proc.d.1945-08-24.10,control
14151__Conservative__uk.proc.d.1945-10-11.7,inefficiency
19128__Conservative__uk.proc.d.1945-10-22.20,regulations
19128__Conservative__uk.proc.d.1945-10-25.31,control
22026__Labour__uk.proc.d.1945-11-08.4,abortion
21933__Conservative__uk.proc.d.1945-11-20.26,control
22022__Conservative__uk.proc.d.1945-11-26.31,grounds
22573__Conservative__uk.proc.d.1945-12-03.5,system
17475__Communist__uk.proc.d.1945-12-04.12,character
21881__Conservative__uk.proc.d.1945-12-06.24,thraldom
22162__Conservative__uk.proc.d.1946-02-11.34,uniformity
17214__Conservative__uk.proc.d.1946-02-27.33,machine
22178__Labour__uk.proc.d.1946-03-08.3,officials
22178__Labour__uk.proc.d.1946-03-08.3,officials
18268__Conservative__uk.proc.d.1946-03-12.14,type
22250__Conservative__uk.proc.d.1946-03-18.33,control
19437__Conservative__uk.proc.d.1946-03-20.34,skeleton
16983__Labour__uk.proc.d.1946-04-30.5,complex
16533__Labour__uk.proc.d.1946-04-30.5,machine
22491__Labour__uk.proc.d.1946-05-01.3,direction
na__na__uk.proc.d.1946-05-16.3,control
17597__Conservative__uk.proc.d.1946-05-20.18,administration
22573__Conservative__uk.proc.d.1946-05-21.16,process
22573__Conservative__uk.proc.d.1946-05-21.16,organisation
21882__Labour__uk.proc.d.1946-05-28.18,way
21882__Labour__uk.proc.d.1946-05-28.18,scheme
22188__Conservative__uk.proc.d.1946-06-03.18,schemes
16923__Conservative__uk.proc.d.1946-06-03.27,pabulum
16923__Conservative__uk.proc.d.1946-06-03.27,nonsense
19128__Conservative__uk.proc.d.1946-06-05.6,control
21786__Conservative__uk.proc.d.1946-06-06.33,tyranny
18106__Conservative__uk.proc.d.1946-07-08.26,control
18268__Conservative__uk.proc.d.1946-07-11.26,tendencies
19423__Conservative__uk.proc.d.1946-07-11.30,operation
19423__Conservative__uk.proc.d.1946-07-11.30,industries
18259__Conservative__uk.proc.d.1946-07-11.34,interference
16642__Labour__uk.proc.d.1946-07-23.23,centralisation
16434__Labour__uk.proc.d.1946-07-29.31,inefficiency
21882__Labour__uk.proc.d.1946-10-17.11,rigidity
21693__Conservative__uk.proc.d.1946-10-18.5,mind
16713__Conservative__uk.proc.d.1946-10-22.13,absolutism
21882__Labour__uk.proc.d.1946-11-20.16,up
17263__Labour__uk.proc.d.1947-01-21.22,waste
16658__Labour__uk.proc.d.1947-01-24.7,inefficiency
22497__Conservative__uk.proc.d.1947-01-27.24,control
22250__Conservative__uk.proc.d.1947-01-30.30,planning
22250__Conservative__uk.proc.d.1947-01-30.30,friends
22180__Conservative__uk.proc.d.1947-02-03.27,administration
17788__Conservative__uk.proc.d.1947-02-03.27,control
22180__Conservative__uk.proc.d.1947-02-11.18,interference
22131__Labour__uk.proc.d.1947-02-24.22,methods
19808__Conservative__uk.proc.d.1947-03-21.3,administration
19211__Labour__uk.proc.d.1947-03-24.26,stupidity
22247__Labour__uk.proc.d.1947-04-16.27,system
21994__Conservative__uk.proc.d.1947-04-18.4,approach
22203__Conservative__uk.proc.d.1947-04-21.21,direction
22250__Conservative__uk.proc.d.1947-04-21.21,pieces
22250__Conservative__uk.proc.d.1947-04-21.21,patchwork
17756__Labour__uk.proc.d.1947-04-21.21,patchwork
21832__Conservative__uk.proc.d.1947-04-24.16,interference
22340__Independent__uk.proc.d.1947-04-25.3,control
22340__Independent__uk.proc.d.1947-04-25.3,direction
22497__Conservative__uk.proc.d.1947-05-01.26,methods
22340__Independent__uk.proc.d.1947-05-05.18,monopoly
22340__Independent__uk.proc.d.1947-05-05.18,system
18798__Labour__uk.proc.d.1947-05-05.18,system
18268__Conservative__uk.proc.d.1947-05-07.17,control
na__na__uk.proc.d.1947-05-12.6,farce
19437__Conservative__uk.proc.d.1947-05-13.19,view
17919__Labour__uk.proc.d.1947-05-19.18,complexities
21786__Conservative__uk.proc.d.1947-06-18.24,officials
18337__Labour__uk.proc.d.1947-07-14.10,control
21841__Conservative__uk.proc.d.1947-07-15.11,machine
19437__Conservative__uk.proc.d.1947-07-28.21,requirements
18819__Conservative__uk.proc.d.1947-07-28.21,control
16522__Labour__uk.proc.d.1947-07-29.12,method
22199__Conservative__uk.proc.d.1947-07-29.18,forests
19437__Conservative__uk.proc.d.1947-08-01.5,machine
17474__Labour__uk.proc.d.1947-10-21.8,paralysis
21718__Conservative__uk.proc.d.1947-10-21.8,work
17474__Labour__uk.proc.d.1947-10-21.8,organisation
22055__Labour__uk.proc.d.1947-10-24.7,sophistry
18106__Conservative__uk.proc.d.1947-11-06.12,form
16713__Conservative__uk.proc.d.1947-12-01.24,appointment
22203__Conservative__uk.proc.d.1947-12-01.24,machine
19593__Conservative__uk.proc.d.1948-01-27.13,argument
17919__Labour__uk.proc.d.1948-02-02.9,interferences
16765__Conservative__uk.proc.d.1948-02-10.13,controls
21882__Labour__uk.proc.d.1948-02-11.23,tape
21882__Labour__uk.proc.d.1948-02-11.23,power
18106__Conservative__uk.proc.d.1948-02-26.18,up
18106__Conservative__uk.proc.d.1948-02-26.18,paradise
22250__Conservative__uk.proc.d.1948-03-02.16,pattern
17725__Conservative__uk.proc.d.1948-03-03.20,inertia
22554__Conservative__uk.proc.d.1948-03-16.15,Government
21897__Conservative__uk.proc.d.1948-03-18.30,service
18361__Conservative__uk.proc.d.1948-04-22.19,organisation
19128__Conservative__uk.proc.d.1948-05-03.15,control
16765__Conservative__uk.proc.d.1948-06-16.24,bottleneck
17474__Labour__uk.proc.d.1948-06-24.23,organisation
21894__Labour__uk.proc.d.1948-07-02.6,interference
22178__Labour__uk.proc.d.1948-07-08.27,form
22250__Conservative__uk.proc.d.1948-07-16.8,approach
17725__Conservative__uk.proc.d.1948-11-02.14,staffs
21882__Labour__uk.proc.d.1948-11-17.28,legislation
18904__Conservative__uk.proc.d.1948-11-17.29,pyramid
18904__Conservative__uk.proc.d.1948-11-17.29,pyramid
18904__Conservative__uk.proc.d.1948-11-17.29,pyramid
21759__Liberal__uk.proc.d.1948-11-24.28,form
22153__Labour__uk.proc.d.1948-11-29.17,organisation
17887__Labour__uk.proc.d.1948-12-10.5,inertia
18361__Conservative__uk.proc.d.1948-12-14.9,control
17879__Conservative__uk.proc.d.1948-12-16.13,control
22573__Conservative__uk.proc.d.1948-12-16.19,methods
16877__Labour__uk.proc.d.1948-12-16.19,control
22554__Conservative__uk.proc.d.1949-01-27.12,control
16748__Conservative__uk.proc.d.1949-02-10.20,attitude
16642__Labour__uk.proc.d.1949-02-17.13,officials
19296__Conservative__uk.proc.d.1949-02-22.20,decision
22526__Labour__uk.proc.d.1949-02-24.23,body
22510__Labour__uk.proc.d.1949-04-27.21,up
21833__Labour__uk.proc.d.1949-04-27.22,machinery
18268__Conservative__uk.proc.d.1949-04-27.24,character
21971__Conservative__uk.proc.d.1949-05-19.22,machine
22057__Labour__uk.proc.d.1949-06-02.8,methods
17788__Conservative__uk.proc.d.1949-06-23.18,machine
21786__Conservative__uk.proc.d.1949-07-07.26,control
18268__Conservative__uk.proc.d.1949-07-21.28,control
16645__Labour__uk.proc.d.1949-07-21.28,Germany
18214__Conservative__uk.proc.d.1949-07-25.23,tape
19128__Conservative__uk.proc.d.1949-11-07.4,drones
na__na__uk.proc.d.1949-11-30.27,control
21649__Labour__uk.proc.d.1949-12-09.13,rule
16448__Labour__uk.proc.d.1950-03-07.6,bodies
21818__Labour__uk.proc.d.1950-03-08.6,control
18458__Labour__uk.proc.d.1950-03-20.4,standardisation
18444__Labour__uk.proc.d.1950-03-21.20,machine
21773__Labour__uk.proc.d.1950-03-22.25,officialdom
17209__Conservative__uk.proc.d.1950-03-23.26,control
18458__Labour__uk.proc.d.1950-03-23.26,centralisation
19298__Conservative__uk.proc.d.1950-03-23.28,heads
22565__Conservative__uk.proc.d.1950-05-11.24,kind
16646__Conservative__uk.proc.d.1950-06-13.27,nonsense
16472__Conservative__uk.proc.d.1950-06-26.19,negativism
22106__Conservative__uk.proc.d.1950-07-11.15,process
19463__Conservative__uk.proc.d.1950-07-17.6,barrier
na__na__uk.proc.d.1950-07-17.6,barrier
22150__Conservative__uk.proc.d.1950-07-19.32,class
22199__Conservative__uk.proc.d.1950-10-19.34,part
22096__Labour__uk.proc.d.1950-10-20.7,tyranny
17087__Conservative__uk.proc.d.1950-10-23.7,administration
19437__Conservative__uk.proc.d.1950-10-23.7,scale
21649__Labour__uk.proc.d.1950-10-23.7,authority
21882__Labour__uk.proc.d.1950-10-25.21,tendency
17605__Liberal__uk.proc.d.1950-11-07.18,control
18941__Conservative__uk.proc.d.1950-11-10.10,system
18941__Conservative__uk.proc.d.1950-11-10.10,machine
21969__Conservative__uk.proc.d.1950-12-05.13,optimism
21709__Conservative__uk.proc.d.1950-12-12.11,machine
na__na__uk.proc.d.1951-02-01.18,council
22150__Conservative__uk.proc.d.1951-02-14.13,arrangement
na__na__uk.proc.d.1951-02-14.13,arrangement
18562__Conservative__uk.proc.d.1951-02-26.3,bumbledom
18106__Conservative__uk.proc.d.1951-03-07.15,farming
22526__Labour__uk.proc.d.1951-03-13.16,form
18611__Labour__uk.proc.d.1951-03-19.4,inspector
21878__Conservative__uk.proc.d.1951-04-03.23,power
18268__Conservative__uk.proc.d.1951-04-05.22,engine
21896__Conservative__uk.proc.d.1951-04-23.26,mind
19405__Conservative__uk.proc.d.1951-05-09.27,fumbling
21878__Conservative__uk.proc.d.1951-05-10.26,obstruction
16448__Labour__uk.proc.d.1951-06-06.30,management
17788__Conservative__uk.proc.d.1951-06-13.30,view
22095__Conservative__uk.proc.d.1951-06-21.25,clutches
18371__Labour__uk.proc.d.1951-06-25.17,influence
22106__Conservative__uk.proc.d.1951-06-27.26,set
18660__Conservative__uk.proc.d.1951-06-27.26,machine
17209__Conservative__uk.proc.d.1951-07-24.7,expedition
21811__Conservative__uk.proc.d.1951-07-26.27,interference
18904__Conservative__uk.proc.d.1951-07-31.16,pyramid
16658__Labour__uk.proc.d.1951-11-28.40,team
21924__Labour__uk.proc.d.1951-11-30.4,procedure
18562__Conservative__uk.proc.d.1951-12-03.24,monstrosity
18562__Conservative__uk.proc.d.1951-12-03.24,bumbledom
18458__Labour__uk.proc.d.1952-01-30.32,Regulations
16448__Labour__uk.proc.d.1952-02-29.5,companies
22057__Labour__uk.proc.d.1952-03-13.20,mind
22480__Conservative__uk.proc.d.1952-03-26.24,dictatorship
18562__Conservative__uk.proc.d.1952-04-30.17,control
22057__Labour__uk.proc.d.1952-05-12.12,mind
22480__Conservative__uk.proc.d.1952-05-12.12,action
17586__Labour__uk.proc.d.1952-05-12.12,mind
22057__Labour__uk.proc.d.1952-05-12.12,mind
18562__Conservative__uk.proc.d.1952-05-29.25,details
18562__Conservative__uk.proc.d.1952-05-29.25,officials
19812__Labour__uk.proc.d.1952-07-02.14,institution
18562__Conservative__uk.proc.d.1952-07-07.13,control
21874__Conservative__uk.proc.d.1952-07-07.20,side
22150__Conservative__uk.proc.d.1952-07-07.20,niche
21894__Labour__uk.proc.d.1952-07-17.10,complacency
17788__Conservative__uk.proc.d.1952-08-01.11,Conservatism
21882__Labour__uk.proc.d.1952-10-23.16,centralisation
21882__Labour__uk.proc.d.1952-10-23.16,interference
21882__Labour__uk.proc.d.1952-10-23.16,powers
21882__Labour__uk.proc.d.1952-10-23.16,interference
21882__Labour__uk.proc.d.1952-10-23.16,interference
21882__Labour__uk.proc.d.1952-10-23.16,interference
21882__Labour__uk.proc.d.1952-10-23.16,machinery
21949__Labour__uk.proc.d.1952-10-29.21,mind
17919__Labour__uk.proc.d.1952-11-12.18,language
16658__Labour__uk.proc.d.1952-11-20.9,Administration
21753__Conservative__uk.proc.d.1952-11-25.10,powers
21678__Labour__uk.proc.d.1952-11-27.17,stagnation
18941__Conservative__uk.proc.d.1952-11-27.17,control
18268__Conservative__uk.proc.d.1952-11-27.17,interference
18268__Conservative__uk.proc.d.1952-11-27.17,control
19128__Conservative__uk.proc.d.1952-12-09.6,control
17903__Labour__uk.proc.d.1952-12-09.7,procedure
21882__Labour__uk.proc.d.1952-12-09.7,Clause
18904__Conservative__uk.proc.d.1952-12-11.10,pyramid
18904__Conservative__uk.proc.d.1952-12-11.10,pyramid
18904__Conservative__uk.proc.d.1952-12-11.10,pyramid
21969__Conservative__uk.proc.d.1952-12-15.8,kind
17919__Labour__uk.proc.d.1953-01-21.15,rigidity
22222__Labour__uk.proc.d.1953-01-27.4,acts
21878__Conservative__uk.proc.d.1953-02-02.25,persons
18562__Conservative__uk.proc.d.1953-02-06.2,Bumbledom
22479__Conservative__uk.proc.d.1953-02-09.13,mind
17788__Conservative__uk.proc.d.1953-02-10.13,organisation
22074__Conservative__uk.proc.d.1953-02-11.14,control
18468__Labour__uk.proc.d.1953-02-18.13,marriage
21912__Labour__uk.proc.d.1953-02-19.10,system
na__na__uk.proc.d.1953-02-24.10,officials
21753__Conservative__uk.proc.d.1953-02-24.10,returns
19128__Conservative__uk.proc.d.1953-03-03.5,policy
21682__Conservative__uk.proc.d.1953-03-11.17,powers
17919__Labour__uk.proc.d.1953-05-07.10,procedure
17433__Labour__uk.proc.d.1953-05-11.18,system
16658__Labour__uk.proc.d.1953-05-19.11,procedures
19128__Conservative__uk.proc.d.1953-06-11.8,interference
21777__Labour__uk.proc.d.1953-06-17.19,effort
17087__Conservative__uk.proc.d.1953-06-30.21,robots
17788__Conservative__uk.proc.d.1953-07-08.26,tyranny
21811__Conservative__uk.proc.d.1953-07-08.30,administration
17209__Conservative__uk.proc.d.1953-07-14.3,instructions
17725__Conservative__uk.proc.d.1953-07-14.3,instructions
18562__Conservative__uk.proc.d.1953-07-20.19,Bumbledom
21818__Labour__uk.proc.d.1953-07-23.19,provision
18682__United_Ulster_Unionist_Council__uk.proc.d.1953-07-29.5,pomposity
22178__Labour__uk.proc.d.1953-10-22.15,administration
22178__Labour__uk.proc.d.1953-10-22.15,administration
17381__Labour__uk.proc.d.1953-11-16.8,council
22250__Conservative__uk.proc.d.1953-11-25.9,planners
21994__Conservative__uk.proc.d.1953-12-15.11,methods
17433__Labour__uk.proc.d.1954-01-19.19,inhumanity
21878__Conservative__uk.proc.d.1954-01-21.4,manner
18562__Conservative__uk.proc.d.1954-02-03.16,controls
21949__Labour__uk.proc.d.1954-02-03.16,control
17087__Conservative__uk.proc.d.1954-02-08.19,tapish
