w,p1,p2,p12,pmi_reg,pmi_2,pmi_3,npmi,period
second,96,12655,2,-19.212382387719202,-18.212382387719202,-17.212382387719202,27.717608794424955,1957-1960
piece,96,1502,3,-15.552669097514272,-13.967706596793116,-12.38274409607196,14.156649491304503,1957-1960
many,96,35771,2,-20.711465330582357,-19.711465330582357,-18.711465330582357,29.88032832197486,1957-1960
dislike,96,467,2,-14.45224124043082,-13.45224124043082,-12.452241240430817,20.850176767300503,1957-1960
good,96,33060,2,-20.597761604900835,-19.597761604900835,-18.597761604900835,29.71628852080353,1957-1960
sometimes,96,3282,2,-17.26532202423487,-16.26532202423487,-15.26532202423487,24.908594463714646,1957-1960
local,96,30293,2,-20.471659339579343,-19.471659339579343,-18.471659339579343,29.53436140797935,1957-1960
create,96,4679,6,-16.19198451336031,-13.607022012639156,-11.022059511917998,9.036918621859616,1957-1960
surely,96,5916,2,-18.115368837820224,-17.115368837820224,-16.115368837820224,26.1349527861977,1957-1960
people,96,50252,6,-19.61689339539649,-17.031930894675334,-14.44696839395418,10.94839666389376,1957-1960
always,96,10119,4,-17.88974160446044,-15.88974160446044,-13.88974160446044,12.904720747770023,1957-1960
challenge,96,1499,2,-16.134747168669016,-15.134747168669017,-14.134747168669017,23.277519726236033,1957-1960
really,96,10795,2,-18.983038123631026,-17.983038123631022,-16.983038123631022,27.386734961968614,1957-1960
gentleman,96,55069,2,-21.333915291044857,-20.333915291044857,-19.333915291044857,30.778333793135644,1957-1960
change,96,13905,2,-19.348278624955206,-18.348278624955206,-17.348278624955206,27.91366562196081,1957-1960
parliamentary,96,10227,4,-17.90505788558226,-15.905057885582261,-13.90505788558226,12.915769109179678,1957-1960
like,96,28917,3,-19.819630266913727,-18.23466776619257,-16.64970526547141,18.04060492618541,1957-1960
industry,96,37302,2,-20.77192786497976,-19.77192786497976,-18.77192786497976,29.967557320509574,1957-1960
seem,96,15102,3,-18.882452001882136,-17.29748950116098,-15.712527000439822,17.18754850701157,1957-1960
additional,96,3714,2,-17.44372060065658,-16.44372060065658,-15.443720600656578,25.1659692052199,1957-1960
lazy,96,52,3,-10.700439718141093,-9.115477217419937,-7.5305147166987805,9.73995997360784,1957-1960
great,96,42728,4,-19.96785666961329,-17.96785666961329,-15.96785666961329,14.403763897216354,1957-1960
service,96,27645,2,-20.33969345196039,-19.33969345196039,-18.33969345196039,29.343974876344976,1957-1960
resist,96,863,2,-15.338179249900112,-14.338179249900112,-13.338179249900112,22.12831514009689,1957-1960
bill,96,48521,2,-21.151284164450672,-20.151284164450672,-19.151284164450672,30.514852772486247,1957-1960
voice,96,975,2,-15.51422090935813,-14.51422090935813,-13.51422090935813,22.382289569186838,1957-1960
associate,96,1766,2,-16.371232128369623,-15.371232128369622,-14.371232128369622,23.618695404840928,1957-1960
bureaucracy,96,96,96,-6.584962500721156,0.0,6.584962500721156,1.4426950408889634,1957-1960
seek,96,6444,2,-18.238703279427725,-17.238703279427725,-16.238703279427725,26.312886773475654,1957-1960
friend,96,67222,4,-20.6216083468552,-18.6216083468552,-16.6216083468552,14.875346048581227,1957-1960
whole,96,18564,2,-19.765182482891348,-18.765182482891348,-17.765182482891348,28.51513075033276,1957-1960
want,96,29053,2,-20.411362023647634,-19.411362023647634,-18.411362023647634,29.44737076930576,1957-1960
opportunity,96,9881,2,-18.855403841569203,-17.855403841569203,-16.855403841569203,27.202597616190598,1957-1960
authority,96,31713,2,-20.53774924085336,-19.53774924085336,-18.53774924085336,29.629708980800213,1957-1960
socialism,96,180,2,-13.076815597050832,-12.076815597050832,-11.07681559705083,18.865857012484685,1957-1960
mean,96,18085,2,-19.727468478264292,-18.727468478264292,-17.727468478264292,28.460720942885242,1957-1960
citizen,96,2108,2,-16.62662165235837,-15.626621652358372,-14.626621652358372,23.987144604594484,1957-1960
scheme,96,15807,3,-18.948275965094634,-17.36331346437348,-15.778350963652324,17.24746406037963,1957-1960
power,96,20226,3,-19.303923412705366,-17.71896091198421,-16.133998411263054,17.57118831804463,1957-1960
believe,96,21649,2,-19.986975266499257,-18.986975266499257,-17.986975266499257,28.835110099348846,1957-1960
scale,96,3027,2,-17.14863546054867,-16.14863546054867,-15.14863546054867,24.740251336946194,1957-1960
become,96,10881,3,-18.409523530691434,-16.82456102997028,-15.239598529249125,16.757070461145133,1957-1960
servant,96,1515,2,-16.15006457908147,-15.15006457908147,-14.15006457908147,23.29961807827734,1957-1960
happen,96,12175,2,-19.156596652578223,-18.156596652578223,-17.156596652578223,27.63712699098472,1957-1960
rule,96,4662,2,-17.771695789850025,-16.771695789850025,-15.771695789850023,25.639137384203902,1957-1960
