1957-1960,1958-1961,1959-1962,1960-1963,1961-1964,1962-1965,1963-1966,1964-1967,1965-1968,1966-1969,1967-1970,1968-1971,1969-1972,1970-1973,1971-1974,1972-1975,1973-1976,1974-1977,1975-1978,1976-1979,1977-1980,1978-1981,1979-1982,1980-1983,1981-1984,1982-1985,1983-1986,1984-1987
think,create,would,bureaucratic,would,would,would,would,swollen,growth,growth,growth,unnecessary,brussels,brussels,brussels,local,government,government,government,create,government,reduce,reduce,reduce,would,would,would
people,think,tape,would,government,involve,involve,create,member,swollen,government,increase,government,increase,would,increase,government,create,create,create,government,reduce,government,unnecessary,would,reduce,reduce,unnecessary
create,member,create,member,member,enormous,create,involve,industry,tape,tape,government,brussels,vast,increase,government,increase,local,increase,would,would,create,would,government,unnecessary,unnecessary,unnecessary,tier
even,right,bureaucratic,house,much,create,land,enormous,government,increase,increase,unnecessary,would,minister,people,people,create,increase,local,layer,increase,would,create,would,government,government,government,government
lazy,local,country,tape,know,government,enormous,swollen,unnecessary,government,would,tape,increase,government,community,create,people,growth,growth,increase,cost,cost,cost,create,create,create,local,cost
right,bureaucratic,make,create,country,land,people,member,would,would,unnecessary,board,create,would,vast,would,would,people,layer,people,layer,increase,unnecessary,local,increase,tier,create,reduce
state,tape,member,know,council,member,government,increase,increase,member,member,civil,vast,community,minister,local,layer,control,people,local,much,local,local,increase,local,local,tier,create
local,people,house,country,power,council,member,citizen,growth,control,people,would,make,great,create,right,control,layer,control,growth,people,service,increase,cost,involve,increase,control,control
would,friend,vast,believe,house,power,council,government,control,people,civil,member,control,control,control,state,hand,would,would,control,control,control,service,involve,people,administration,need,burden
always,even,government,vast,vast,citizen,power,growth,need,unnecessary,board,people,small,unnecessary,government,think,state,civil,civil,cost,service,much,control,public,authority,people,burden,increase
second,deal,right,well,well,people,shall,delay,create,civil,create,create,board,make,great,shall,power,public,great,another,local,layer,involve,service,burden,control,increase,without
member,great,well,danger,make,shall,build,people,decision,need,servant,servant,civil,farmer,think,power,another,great,public,civil,involve,involve,public,control,public,authority,administration,brussels
want,organisation,believe,government,another,commission,anomaly,need,administrative,industry,control,local,less,create,believe,vast,industry,industry,brussels,great,great,public,much,authority,need,cost,involve,large
organisation,government,must,state,danger,great,large,vast,well,board,local,control,many,also,farmer,great,problem,hand,tape,involve,reduce,people,people,people,control,great,people,involve
friend,always,know,make,create,andrew,word,want,great,example,industry,bill,local,believe,shall,could,civil,power,cost,public,brussels,could,authority,system,make,vast,cost,tape
government,opposite,executive,must,believe,anomaly,citizen,size,another,great,bill,make,great,less,democracy,another,extension,problem,another,much,another,health,system,make,less,bill,without,local
parliamentary,would,friend,always,state,form,site,many,brussels,democracy,centralisation,administration,minister,small,system,work,brussels,service,want,want,want,must,great,tape,service,need,money,make
evil,evil,another,system,must,house,want,industry,give,many,swollen,example,member,think,make,community,take,tier,involve,tier,civil,unnecessary,health,work,cost,service,less,people
scheme,scheme,international,enormous,matter,word,know,land,efficient,local,need,could,servant,reduce,even,industry,result,state,tier,service,could,great,reduction,much,much,money,much,additional
power,power,much,friend,build,large,commission,word,come,create,public,know,result,want,power,take,right,cost,industry,brussels,public,authority,could,layer,great,much,additional,state
service,believe,industry,another,opposite,site,departmental,kind,citizen,well,make,need,public,shall,country,control,growth,burden,state,make,make,member,back,training,bill,involve,great,need
part,reasonably,danger,power,bureaucratic,increase,form,price,many,opposite,example,want,administer,dahrendorf,many,result,work,another,service,power,member,need,work,could,member,public,authority,money
like,whether,great,public,however,grow,ridiculous,well,size,rather,form,gentleman,bill,democracy,also,farmer,great,extension,hand,member,well,right,money,need,problem,make,make,great
reasonably,executive,surely,part,take,want,london,great,know,must,hand,small,people,member,rule,system,public,tape,much,tape,power,make,layer,also,avoid,without,problem,duplication
good,industry,people,ordinary,enormous,case,result,unnecessary,avoid,make,democracy,reduce,form,even,local,problem,involve,involve,power,expenditure,need,system,need,burden,work,less,service,many
piece,matter,organisation,much,case,must,officialdom,form,people,know,great,centralisation,industry,must,europe,cost,service,make,make,reduce,take,administration,member,want,many,burden,brussels,want
whether,nationalise,lead,great,lead,know,increase,decision,kind,service,many,public,also,wasteful,dahrendorf,common,large,take,burden,extra,health,believe,small,money,system,state,large,vast
must,house,think,question,minister,matter,unnecessary,large,council,servant,know,many,centralisation,civil,european,gentleman,grow,want,expenditure,must,must,want,make,less,additional,problem,vast,business
question,describe,build,minister,think,stand,much,efficient,impose,efficient,want,must,want,people,take,know,could,expenditure,extra,many,many,power,impose,small,money,friend,state,problem
country,sometimes,system,lead,involve,take,many,executive,local,bill,burden,less,take,local,form,administrative,know,member,problem,burden,believe,another,take,time,also,waste,business,much
great,make,customs,take,friend,hand,country,power,shall,time,could,democracy,administration,much,small,market,think,grow,take,well,expenditure,well,give,many,waste,large,many,administration
