1966-1967,1969-1970,1972-1973,1975-1976,1978-1979,1981-1982
bureaucratic,bureaucracy_labour,bureaucracy_labour,bureaucracy_labour,bureaucracy_labour,bureaucracy_labour
bureaucracy_labour,bureaucratic,bureaucratic,bureaucratic,bureaucratic,bureaucratic
whitehall,centralisation,centralisation,bureaucrat,bureaucracy_liberal,bureaucracy_liberal
muddle,inefficiency,fragmentation,inefficiency,layer,centralisation
farce,inefficient,rigidity,layer,apparatus,layer
straitjacket,muddle,bureaucrat,nightmare,quango,paperwork
paradox,extravagance,inefficiency,centralised,bureaucrat,duplication
screw,centralised,distortion,centralisation,paraphernalia,efficiency
punch,paraphernalia,protectionism,monster,centralisation,bureaucrat
racket,farce,conglomerate,apparatus,duplication,quango
wave,tendency,tyranny,paraphernalia,tier,filling
mechanism,vicious,apparatus,extravagance,panoply,inefficiency
inefficiency,stupidity,edifice,remoteness,centralised,apparatus
swinge,centralise,competition,conglomerate,inefficiency,administrative
monolithic,bunch,capitalism,panoply,extravagance,accountability
extravagance,tyranny,paraphernalia,legislature,administrative,overhead
pornography,decentralisation,complication,gigantic,monster,extravagance
centralisation,taxation,decentralisation,monolithic,decentralisation,filter
grind,whitehall,accountability,folly,burdensome,centralised
spiral,monolithic,myth,duplication,accountability,simplification
pack,myth,monolithic,taxis,overhead,taxis
swallow,folly,extravagance,tyranny,juggernaut,spender
clog,distortion,cynicism,fragmentation,overburden,tier
fiction,racket,numerically,edifice,taxation,panoply
manipulation,rigidity,chaos,pernicious,centralise,fifthly
